Công Ty TNHH Thương Mại Và Dịch Vụ Thái Dương Hưng	Bắc Giang	Số 28, ngõ 5, đường Á Lữ, Tỉnh Bắc Giang		2400351493	22-02-2006
Công Ty Cổ Phần Đầu Tư Và Thương Mại Ngọc Lượng	Bắc Giang	Số 1035 đường Lê Lợi, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	2400866118	17-06-2019
Công Ty CP Đầu Tư Thương Mại Hội Minh	Bắc Giang	Số 820, Đường Lê Lợi, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Vận tải hàng hóa bằng đường bộ	2400866132	17-06-2019
Công Ty TNHH Seojin Tech Việt Nam	Bắc Giang	Tổ dân phố Giáp Nguột ( Thuê nhà xưởng của Công ty TNHH Phương Nga ), Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất linh kiện điện tử	2400865812	14-06-2019
Công Ty Cổ Phần Greenwood Bắc Giang	Bắc Giang	Số 810 đường Lê Lợi, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu	2400865474	07-06-2019
Công Ty TNHH Quảng Cáo Và Dịch Vụ Thương Mại Hải Nam	Bắc Giang	Số nhà 108 đường Giáp Hải, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	In ấn	2400865523	07-06-2019
Công Ty Cổ Phần Minh Đức Quang	Bắc Giang	Số nhà 17, ngách 1, ngõ 142 đường Thánh Thiên, Phường Lê Lợi, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Nhà hàng và các dịch vụ ăn uống phục vụ lưu động	2400865509	07-06-2019
Công Ty TNHH Thương Mại Thuần Hoa	Bắc Giang	Số 373, đường Giáp Hải, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn đồ dùng khác cho gia đình	2400865185	05-06-2019
Công Ty TNHH Dịch Vụ Zgc	Bắc Giang	Số nhà 20, ngõ 46 đường Vương Văn Trà, Phường Trần Nguyên Hãn, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Cung ứng và quản lý nguồn lao động	2400865139	04-06-2019
Công Ty Cổ Phần Xây Dựng Và Đầu Tư Bất Động Sản Land Việt	Bắc Giang	Số 4, Tổ dân phố Phú Mỹ 3, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất	2400863318	13-05-2019
Công Ty TNHH Dv & Tm Vạn Đạt	Bắc Giang	Số 14, đường Nguyễn Thị Lưu 1, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Nhà hàng và các dịch vụ ăn uống phục vụ lưu động	2400863050	08-05-2019
Công Ty Cổ Phần Năng Lượng Thái An	Bắc Giang	Số 167, đường Xương Giang, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Kiểm tra và phân tích kỹ thuật	2400862674	06-05-2019
Công Ty TNHH Dịch Vụ Ăn Uống Quảng Nguyên	Bắc Giang	Số nhà 10, ngõ 179, đường Lê Lợi, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Dịch vụ ăn uống khác	2400862794	04-05-2019
Công Ty TNHH Tân Minh Bắc Giang	Bắc Giang	Số 94 đường Nguyễn Du, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải	2400861695	18-04-2019
Công Ty Cổ Phần Đầu Tư Xây Dựng - Dịch Vụ Hạ Tầng Đô Thị	Bắc Giang	Đường Thân Nhân Trung, Xã Tân Mỹ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Thu gom rác thải không độc hại	2400861487	12-04-2019
Công Ty Cổ Phần Đầu Tư Và Phát Triển Dnt Vina	Bắc Giang	Số 66 đường Lương Văn Nắm, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Cung ứng lao động tạm thời	2400861536	11-04-2019
Công Ty TNHH Chuyển Phát Nhanh Newpost Bắc Giang	Bắc Giang	Số 44/291 đường Lê Lợi, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Chuyển phát	2400860490	26-03-2019
Doanh Nghiệp Tn Vàng Bạc Tùng Vân	Bắc Giang	Số 187, Đường Hoàng Văn Thụ, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh	2400860204	21-03-2019
Công Ty Cổ Phần Xây Dựng Sco	Bắc Giang	Tầng3, Lô 4C Minh Khai, Đường Nguyễn Thị Minh Khai, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Hoàn thiện công trình xây dựng	2400859738	19-03-2019
Công Ty TNHH Hòa Vina	Bắc Giang	Thôn Yên Khê, Xã Song Khê, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất linh kiện điện tử	2400859696	15-03-2019
Công Ty Cổ Phần Quốc Tế Lgg	Bắc Giang	Cụm công nghiệp Xương Giang 2, Đường Xương Giang,  Phường Xương Giang, Thành phố  Bắc Giang, Tỉnh Bắc Giang	May trang phục (trừ trang phục từ da lông thú)	2400859657	14-03-2019
Công Ty TNHH Jinsung Electronics & Industrial Supply	Bắc Giang	Số 1, ngõ 842, Tổ dân phố Phú Mỹ 3, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất linh kiện điện tử	2400859470	12-03-2019
Công Ty Cổ Phần Công Nghiệp Nano Trần Phú	Bắc Giang	Số 15, ngõ 102, đường Huyền Quang, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất dây, cáp điện và điện tử khác	2400858935	05-03-2019
Công Ty TNHH Đầu Tư Thương Mại Và Phát Triển Dịch Vụ Hải Đăng	Bắc Giang	Số 338 đường Hoàng Văn Thụ, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Vận tải hàng hóa bằng đường bộ	2400858237	15-02-2019
Công Ty TNHH Đầu Tư Thương Mại Thanh Tú	Bắc Giang	Số 78 đường Hoàng Hoa Thám, Phường Đa Mai, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	2400858163	12-02-2019
Công Ty TNHH Dây Cáp Và Thiết Bị Điện Sao Việt	Bắc Giang	Số 248 đường Nguyễn Công Hãng, Phường Trần Nguyên Hãn, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh	2400858156	12-02-2019
Công Ty TNHH Đầu Tư Và Phát Triển C&d	Bắc Giang	Số 84, Đường Nguyễn Văn Cừ, Phường Lê Lợi, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Hoạt động tư vấn quản lý	2400857811	29-01-2019
Công Ty TNHH Khoa Học Kỹ Thuật Điện Tử Việt Hưng	Bắc Giang	Lô 45, đường Nguyễn Khuyến, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Lắp đặt máy móc và thiết bị công nghiệp	2400857508	24-01-2019
Công Ty Cổ Phần Giáo Dục Và Đào Tạo Alla	Bắc Giang	Tầng 2, Số nhà 34, Đường Ngô Văn Cảnh, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Giáo dục khác chưa được phân vào đâu	2400857378	18-01-2019
