Công Ty TNHH Thương Mại Dịch Vụ Tuấn Anh Dicovery	Bắc Ninh	Khu Lãm Làng, Phường Vân Dương, Thành phố Bắc Ninh, Tỉnh Bắc Ninh	Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)	2301094277	18-06-2019
Công Ty TNHH Thương Mại Và Dịch Vụ Green Bean Cafe	Bắc Ninh	TTTM Vincom Plaza, Phường Suối Hoa, Thành phố Bắc Ninh, Tỉnh Bắc Ninh	Bán buôn đồ uống	2301094157	17-06-2019
Công Ty TNHH Dịch Vụ Doanh Nghiệp Và Kế Toán Inteltax	Bắc Ninh	Đường Lê Thái Tổ, Phường Võ Cường, Thành phố Bắc Ninh, Tỉnh Bắc Ninh	Hoạt động liên quan đến kế toán, kiểm toán và tư vấn về thuế	2301094069	14-06-2019
Công Ty TNHH Jk Solution	Bắc Ninh	27/N2, Khu Đô Thị Hud, Phường Võ Cường, Thành phố Bắc Ninh, Tỉnh Bắc Ninh	Bán lẻ hình thức khác chưa được phân vào đâu	2301092985	06-06-2019
Công Ty TNHH Thương Mại Đại Tân Việt Nam	Bắc Ninh	Số 6 - khu tập thể lương thực, Đường Nguyễn Văn Cừ, Phường Ninh Xá, Thành phố Bắc Ninh, Tỉnh Bắc Ninh	Bán buôn máy móc, thiết bị và phụ tùng máy khác	2301092505	03-06-2019
Công Ty TNHH Thương Mại Và Công Nghiệp Junhoo	Bắc Ninh	Số 211, Đường Hồ Ngọc Lân, Phường Kinh Bắc, Thành phố Bắc Ninh, Tỉnh Bắc Ninh	Bán buôn tổng hợp	2301092544	30-05-2019
Công Ty TNHH Thương Mại Hải Sâm	Bắc Ninh	Số 89, Đường Kinh Bắc 58, Hồ Ngọc Lân 3, Phường Kinh Bắc, Thành phố Bắc Ninh, Tỉnh Bắc Ninh	Bán buôn tổng hợp	2301092449	30-05-2019
Công Ty TNHH Khoa Học Kỹ Thuật Điện Tử Bác Thắng Đạt	Bắc Ninh	Tầng 6 tòa nhà Cát Tường ECO, đường Lê Thái Tổ, Phường Võ Cường, Thành phố Bắc Ninh, Tỉnh Bắc Ninh	Bán buôn tổng hợp	2301091357	20-05-2019
Công Ty TNHH Tư Vấn Dịch Vụ Phúc Hưng	Bắc Ninh	Khu Lãm Làng, Phường Vân Dương, Thành phố Bắc Ninh, Tỉnh Bắc Ninh	Bán buôn tổng hợp	2301091117	20-05-2019
Công Ty TNHH Một Thành Viên Cnk	Bắc Ninh	Số 5, Nguyễn Đăng Đạo, Khu 10, Phường Đại Phúc, Thành phố Bắc Ninh, Tỉnh Bắc Ninh	Dịch vụ phục vụ đồ uống	2301091124	20-05-2019
