Công Ty TNHH Tư Vấn - Xây Dựng 134	Cao Bằng	Xóm Nặm Thôm, Thị Trấn Thanh Nhật, Huyện Hạ Lang, Tỉnh Cao Bằng	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	4800905809	10-05-2018
Công Ty TNHH Minh Vân Cao Bằng	Cao Bằng	Xóm Nà Ến, Thị Trấn Thanh Nhật, Huyện Hạ Lang, Tỉnh Cao Bằng	Vận tải hàng hóa bằng đường bộ	4800900078	12-05-2017
Công Ty TNHH Hoàng Long Hạ Lang	Cao Bằng	Xóm Nà Ến, Thị Trấn Thanh Nhật, Huyện Hạ Lang, Tỉnh Cao Bằng	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	4800899721	10-04-2017
Công Ty TNHH Xuất Nhập Khẩu Kiệt Hải	Cao Bằng	NR: ông Trần Văn Nên, xóm Nà Ến, Thị Trấn Thanh Nhật, Huyện Hạ Lang, Tỉnh Cao Bằng	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	4800899457	22-03-2017
Doanh Nghiệp Tư Nhân Thúy Nam Cao Bằng	Cao Bằng	Thôn Bản Nhăng, Xã Đức Quang, Huyện Hạ Lang, Tỉnh Cao Bằng	Chăn nuôi trâu, bò	4800899351	20-03-2017
Công Ty TNHH Xây Dựng Thiên Phú Cao Bằng	Cao Bằng	Xóm Sộc Áng, Xã An Lạc, Huyện Hạ Lang, Tỉnh Cao Bằng	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	4800898936	23-02-2017
HợP TáC Xã TUấN Tú	Cao Bằng	Sang Chỉa - Xã Vinh Quý - Huyện Hạ Lang - Cao Bằng	Sản xuất sản phẩm từ chất khoáng phi kim loại khác chưa được phân vào đâu	4800895251	13-04-2016
BAN QUảN Lý CửA KHẩU Lý VạN	Cao Bằng	Lý Vạn - Xã Lý Quốc - Huyện Hạ Lang - Cao Bằng	Hoạt động quản lý nhà nước trong các lĩnh vực kinh tế chuyên ngành	4800895082	30-03-2016
Mã Vãng lai	Cao Bằng	. - Huyện Hạ Lang - Cao Bằng	Hoạt động của Đảng cộng sản, tổ chức chính trị - xã hội, quản lý nhà nước và quản lý chính sách kinh tế, xã hội	4800885119	27-12-2014
BAN QUảN Lý Dự áN BảO Vệ Và PHáT TRIểN RừNG Hạ LANG	Cao Bằng	TT.Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Trồng rừng và chăm sóc rừng	4800884644	04-12-2014
BAN QUảN Lý Dự áN PHáT TRIểN NôNG LâM NGHIệP Hạ LANG	Cao Bằng	TT.Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Lâm nghiệp và hoạt động dịch vụ có liên quan	4800884637	04-12-2014
Công Ty TNHH Dịch Vụ Và Thương Mại Ngân Kiên Phát- Chi Nhánh Cao Bằng	Cao Bằng	Xóm Huyền Du - Thị Trấn Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Trồng cây thuốc lá, thuốc lào	0106152316-001	19-12-2013
HợP TáC Xã ANH HậU	Cao Bằng	Bản các - Xã Việt Chu - Huyện Hạ Lang - Cao Bằng	Sản xuất sản phẩm khác từ gỗ	4800865049	24-10-2013
HợP TáC Xã TUấN LậP	Cao Bằng	Xóm phia đán - Xã Thị Hoa - Huyện Hạ Lang - Cao Bằng	Chế biến gỗ và sản xuất sản phẩm từ gỗ, tre, nứa (trừ giường, tủ, bàn, ghế); sản xuất sản phẩm từ rơm, rạ và vật liệu tết bện	4800864662	23-08-2013
Doanh Nghiệp Tư Nhân Hùng Dũng Cao Bằng	Cao Bằng	Phố Hạ Lang - Thị Trấn Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Bán lẻ vàng, bạc, đá quí và đá bán quí, đồ trang sức trong các cửa hàng chuyên doanh	4800864486	30-07-2013
Văn phòng Đăng ký Quyền Sử Dụng Đất	Cao Bằng	TT.Thanh Nhật - Thị Trấn Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Hoạt động dịch vụ tài chính khác (trừ bảo hiểm và bảo hiểm xã hội)	4800864422	25-07-2013
Công Ty TNHH Đầu Tư Phát Triển Nông Lâm Nghiệp Cao Bằng	Cao Bằng	Xóm Đông Mu - Thị Trấn Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Trồng rừng và chăm sóc rừng	4800863676	11-04-2013
Công Ty TNHH Một Thành Viên Xây Dựng Và Thương Mại Trường Quang	Cao Bằng	Xóm Lũng Luông - Xã Quang Long - Huyện Hạ Lang - Cao Bằng	Khai thác đá, cát, sỏi, đất sét	4800863669	09-04-2013
PHòNG CôNG THươNG	Cao Bằng	TT.Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Hoạt động dịch vụ tài chính khác (trừ bảo hiểm và bảo hiểm xã hội)	4800862714	11-01-2013
HTX THươNG MạI Và XâY DựNG QUANG TRườNG	Cao Bằng	Xóm Lũng Luông - Quang long - Huyện Hạ Lang - Cao Bằng	Khai khoáng khác	4800862665	08-01-2013
Hợp Tác Xã Thương Mại Và Xây Dựng Nam Khánh	Cao Bằng	Phố Hạ Lang - Thị Trấn Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Xây dựng công trình đường bộ	4800780187	07-12-2011
Doanh Nghiệp Tư Nhân Hiến Hoàng	Cao Bằng	- Thị Trấn Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	4800777787	05-12-2011
Đồn Biên Phòng Quang Long	Cao Bằng	Quang Long - Huyện Hạ Lang - Cao Bằng	Hoạt động dịch vụ tài chính khác (trừ bảo hiểm và bảo hiểm xã hội)	4800751330	16-08-2011
Văn Phòng Đại Diện Công Ty Cổ Phần Đầu Tư Phát Triển Miền Núi Tại Hạ Lang	Cao Bằng	Xóm Bản Mỉn - Xã Vinh Quý - Huyện Hạ Lang - Cao Bằng	Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê	0101469849-003	05-05-2011
Trung Tâm Dân số và KHH Gia đình	Cao Bằng	Thị Trấn Thqanh Nhật - Huyện Hạ Lang - Cao Bằng	Hoạt động y tế khác	4800624572	22-07-2010
Trung Tâm Giáo Dục Thường Xuyên	Cao Bằng	TT.Thanh Nhật - Thị Trấn Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Hoạt động dịch vụ tài chính khác (trừ bảo hiểm và bảo hiểm xã hội)	4800612400	02-07-2010
Hạt Kiểm Lâm Hạ lang	Cao Bằng	TT.Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Hoạt động quản lý nhà nước nói chung và kinh tế tổng hợp	4800570260	01-06-2010
Công Ty TNHH Anh Quân Cao Bằng	Cao Bằng	Xóm Nà ến - Thị Trấn Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Xây dựng công trình kỹ thuật dân dụng khác	4800425489	15-03-2010
Hợp Tác Xã Minh Thông	Cao Bằng	Phố Hạ Lang Thị Trấn Thanh Nhật - Thị Trấn Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Khai khoáng khác	4800415931	19-01-2010
Công Ty TNHH Dịch Vụ Thương Mại Thu Nga	Cao Bằng	Xóm Huyền Du - Thị Trấn Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	4800363190	17-11-2009
Hợp Tác Xã Quang Ngọc	Cao Bằng	Tthị trấn Thanh Nhật - Thị Trấn Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Khai khoáng khác	4800335563	16-10-2009
Hợp Tác Xã Đồng Loan	Cao Bằng	Bản Lung - Đồng Loan - Huyện Hạ Lang - Cao Bằng	Khai khoáng khác	4800324610	02-10-2009
Chi nhánh Công ty TNHH xây dựng 26-3	Cao Bằng	Thị trấn Thanh nhật - Huyện Hạ Lang - Cao Bằng	Hoạt động xây dựng chuyên dụng	4800173640-001	22-07-2009
Ban Quản Lý Dự án Đầu Tư Và Xây Dựng	Cao Bằng	TT Thanh Nhật - Huyện Hạ Lang - Cao Bằng	Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu	4800215650	29-04-2009
Viện Kiểm Sát Nhân Dân	Cao Bằng	TT Thanh Nhật - Huyện Hạ Lang - Cao Bằng	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	4800215668	29-04-2009
