Công Ty Trách Nhiệm Hữu Hạn Tới Hạnh	Điện Biên	Bản Chợ , Xã Búng Lao, Huyện Mường ảng, Tỉnh Điện Biên	Khai thác đá, cát, sỏi, đất sét	5600313677	10-05-2018
Công Ty Cổ Phần Cà Phê Mộc Nguyên Hương	Điện Biên	Tổ dân phố số 2, Thị Trấn Mường Ảng, Huyện Mường ảng, Tỉnh Điện Biên	Sản xuất thực phẩm khác chưa được phân vào đâu	5600304665	25-08-2017
Công Ty TNHH 368 Tỉnh Điện Biên	Điện Biên	Tổ dân phố 10, Thị Trấn Mường Ảng, Huyện Mường ảng, Tỉnh Điện Biên	Xây dựng nhà các loại	5600304520	17-08-2017
Công Ty TNHH Sản Xuất Nông Nghiệp Sạch Mường ảng	Điện Biên	Tổ dân phố 3 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên		5600293149	19-07-2016
Chi Nhánh Doanh Nghiệp TN Hoàng Sơn Tại Mường ảng	Điện Biên	Tổ dân phố 4 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên		5600172338-001	19-07-2016
Chi Nhánh Doanh Nghiệp TN Xây Dựng Đoàn Lân	Điện Biên	Tổ dân phố 6 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Xây dựng công trình kỹ thuật dân dụng khác	5600153247-001	16-06-2016
Công Ty TNHH Sản Xuất Nông Nghiệp Và Dịch Vụ Thương Mại Mường Khoe	Điện Biên	Bản Pá Cha - Xã ảng tở - Huyện Mường ảng - Điện Biên	Chăn nuôi trâu, bò	5600292610	16-06-2016
Công Ty TNHH Tư Vấn Thiết Kế Công Phú - Chi Nhánh Mường ảng	Điện Biên	Tổ dân phố 8 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	5600165718-001	13-05-2016
Công Ty TNHH Xuất Nhập Khẩu Cà Phê Việt Bắc	Điện Biên	Bản Pá Cha - Xã ảng tở - Huyện Mường ảng - Điện Biên	Bán buôn thực phẩm	5600291871	09-05-2016
HTX Đồng Tâm	Điện Biên	Bản Na Luông - Xã ảng nưa - Huyện Mường ảng - Điện Biên	Nông nghiệp và hoạt động dịch vụ có liên quan	5600291889	06-05-2016
Phòng giao dịch ngân hàng chính sách xã hội huyện Mường ảng	Điện Biên	TDP 8 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Hoạt động dịch vụ tài chính khác (trừ bảo hiểm và bảo hiểm xã hội)	5600291670	15-04-2016
Chi Nhánh Công Ty TNHH Đại Lộc Tại Mường ảng	Điện Biên	Tổ dân phố 7 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Xây dựng nhà các loại	5600191612-001	22-03-2016
Công Ty TNHH Đầu Tư Xd Và Tm Trường Long - Chi Nhánh Mường ảng	Điện Biên	Tổ dân phố 5 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Vận tải hàng hóa bằng đường bộ	5600211516-002	16-03-2016
Công Ty TNHH Thương Mại Và Dịch Vụ Hà Thanh Tú Điện Biên	Điện Biên	Tổ dân phố 7 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên		5600290878	08-03-2016
Chi Nhánh Công Ty TNHH Thiên Hương Tỉnh Điện Biên	Điện Biên	Tổ dân phố 7 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên		5600268583-001	08-03-2016
Công Ty Trách Nhiệm Hữu Hạn Tỉnh Hà Điện Biên	Điện Biên	Bản Chợ - Xã Búng Lao - Huyện Mường ảng - Điện Biên	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	5600290733	24-02-2016
Hợp Tác Xã Hùng Cường	Điện Biên	Bản Cang - Xã ảng nưa - Huyện Mường ảng - Điện Biên	Xây dựng công trình kỹ thuật dân dụng khác	5600290758	24-02-2016
Công Ty TNHH Hòa Anh Điện Biên	Điện Biên	Tổ dân phố 6 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	5600290187	18-01-2016
Doanh Nghiệp Tư Nhân Hồng Phúc- Chi Nhánh Mường ảng	Điện Biên	Tổ dân phố 7 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Xây dựng nhà các loại	5600179492-001	15-12-2015
Công Ty Cổ Phần Môi Trường Xanh Dạ Quang	Điện Biên	Tổ dân phố 1 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Trồng rừng và chăm sóc rừng	5600287730	02-12-2015
Hợp Tác xã Trường Duyên	Điện Biên	Bản Chợ - Xã Búng Lao - Huyện Mường ảng - Điện Biên	Thu gom rác thải	5600287716	01-12-2015
Hợp tác xã cà phê phú Việt Hưng	Điện Biên	TDP 5 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Trồng cây cao su	5600286293	25-09-2015
Công Ty Cổ Phần Nông Nghiệp Sao Xanh - Chi Nhánh Điện Biên	Điện Biên	Khối 7 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Sản xuất thực phẩm khác chưa được phân vào đâu	0106929352-001	18-09-2015
Công Ty TNHH Đức Phát Tỉnh Điện Biên	Điện Biên	Tổ dân phố 7 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Xây dựng nhà các loại	5600285405	24-08-2015
Bưu Điện huyện Mường ẳng - Bưu điện tỉnh Điện Biên	Điện Biên	3012101phố 7 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Bưu chính	5600101721-003	03-08-2015
Văn Phòng đăng ký quyền sử dụng đất	Điện Biên	Bản Hón - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Hoạt động dịch vụ tài chính khác (trừ bảo hiểm và bảo hiểm xã hội)	5600284722	28-07-2015
Trạm Bảo Vệ Thực Vật Mường ảng	Điện Biên	Bản Hón - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Nông nghiệp và hoạt động dịch vụ có liên quan	5600280830	12-03-2015
Nguyển Thị Nhung	Điện Biên	TDP 3 - Huyện Mường ảng - Điện Biên	Bán buôn sách, báo, tạp chí, văn phòng phẩm	5600280277	03-02-2015
Doanh Nghiệp Tư Nhân Chinh Minh Tỉnh Điện Biên	Điện Biên	Bản Chợ - Xã Búng Lao - Huyện Mường ảng - Điện Biên	Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh	5600277316	21-10-2014
Trường Mầm Non ảng Tở	Điện Biên	Bản Cha Nọ - Xã ảng tở - Huyện Mường ảng - Điện Biên	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5600275950	12-08-2014
Trường Tiểu Học Mường Lạn	Điện Biên	Mường Lạn - Huyện Mường ảng - Điện Biên	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5600275904	05-08-2014
Trường THCS Mường Lạn	Điện Biên	Mường Lạn - Huyện Mường ảng - Điện Biên	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5600275894	04-08-2014
Trường Mầm non Nặm Lịch	Điện Biên	Bản lịch Cang - Huyện Mường ảng - Điện Biên	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5600275862	01-08-2014
Trường Tiểu Học Mặm Lịch	Điện Biên	Xã Nặm Lịch - Huyện Mường ảng - Điện Biên	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5600275816	29-07-2014
Công Ty TNHH Xây Dựng Và Thương Mại Tính Hoa Điện Biên	Điện Biên	Tổ dân phố 9 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh	5600272540	14-02-2014
Doanh Nghiệp TN Vàng Bạc Hiệp Lương Tỉnh Điện Biên	Điện Biên	Tổ dân phố 7 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh	5600269837	16-10-2013
Doanh Nghiệp TN Cà Phê Minh Tiến - Chi Nhánh Điện Biên	Điện Biên	Tổ dân phố 6 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	0101013887-002	08-10-2013
Ngân Hàng Nông Nghiệp Và Phát Triển Nông Thôn Việt Nam - Chi Nhánh Huyện Mường ảng Điện Biên	Điện Biên	Khối 7 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Hoạt động trung gian tiền tệ khác	0100686174-571	07-10-2013
Công Ty Cổ Phần Cao Su Cà Phê Mường Thanh Điện Biên	Điện Biên	Khối 8 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Trồng cây cao su	5600268181	21-05-2013
Trường Phổ thông DTNT THPT huyện Mường ảng	Điện Biên	thị trấn Mường ảng - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5600268174	20-05-2013
Công Ty TNHH Đầu Tư Và Xây Dựng Vinh Phong Tỉnh Điện Biên	Điện Biên	Tổ dân phố 8 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Xây dựng công trình kỹ thuật dân dụng khác	5600267445	19-03-2013
Văn Phòng Đại Diện Công Ty TNHH Cường Công Mường Nhé	Điện Biên	Bản Hua Nặm - Xã ảng cang - Huyện Mường ảng - Điện Biên	Xây dựng nhà các loại	5600233559-001	19-03-2013
Đài Truyền Thanh - Truyền Hình Mường ảng	Điện Biên	Tổ dân phố 7 - Huyện Mường ảng - Điện Biên	Hoạt động truyền hình	5600267438	15-03-2013
Doanh Nghiệp Tư Nhân Xuân Tuyên Tỉnh Điện Biên	Điện Biên	Bản Chợ - Huyện Mường ảng - Điện Biên	Trồng cây cà phê	5600267283	26-02-2013
Doanh Nghiệp Tư Nhân Tuấn Anh Mường ảng	Điện Biên	Tổ dân phố 8 - Huyện Mường ảng - Điện Biên	Trồng cây cà phê	5600267276	26-02-2013
Trường THCS Mường Đăng	Điện Biên	Mường Đăng - Huyện Mường ảng - Điện Biên	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5600266233	30-12-2012
Trường Tiểu học Búng lao	Điện Biên	bản Xuân Hón - Huyện Mường ảng - Điện Biên	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5600266226	30-12-2012
Công Ty Trách Nhiệm Hữu Hạn 668 Tỉnh Điện Biên	Điện Biên	Tổ dân phố 7 - Thị Trấn Mường ảng - Huyện Mường ảng - Điện Biên	Vận tải hàng hóa bằng đường bộ	5600264162	16-10-2012
