Công Ty TNHH Thương Mại Dịch Vụ Tây Côn Lĩnh	Hà Giang	Tổ 5, Thị Trấn Vinh Quang, Huyện Hoàng Su Phì, Tỉnh Hà Giang	Dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch	5100461532	24-07-2018
Văn Phòng Đại Diện Công Ty TNHH Lữ Hành Cội Nguồn Việt Tỉnh Hà Giang	Hà Giang	Thôn Nậm Hồng, Xã Thông Nguyên, Huyện Hoàng Su Phì, Tỉnh Hà Giang		0102388399-006	03-07-2018
Công Ty Cổ Phần Thủy Điện Tả Quan 1	Hà Giang	Thôn Tả Hồ Piên, Xã Nậm Tỵ, Huyện Hoàng Su Phì, Tỉnh Hà Giang	Sản xuất, truyền tải và phân phối điện	5100459501	09-05-2018
Công Ty Cổ Phần Tư Vấn Và Xây Dựng 219	Hà Giang	Tổ 5, Thị Trấn Vinh Quang, Huyện Hoàng Su Phì, Tỉnh Hà Giang	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	5100456130	27-12-2017
Công Ty TNHH Nam Khôi Hà Giang	Hà Giang	Tổ 5, Thị Trấn Vinh Quang, Huyện Hoàng Su Phì, Tỉnh Hà Giang	Bán mô tô, xe máy	5100452129	18-08-2017
Công Ty Cổ Phần Du Lịch Chiêu Lầu Thi	Hà Giang	Khu 3, Thị Trấn Vinh Quang, Huyện Hoàng Su Phì, Tỉnh Hà Giang	Điều hành tua du lịch	5100447792	21-04-2017
Công Ty Trách Nhiệm Hữu Hạn Một Thành Viên Thịnh Hiếu - Hg	Hà Giang	Thôn Khu Chợ , Xã Thông Nguyên, Huyện Hoàng Su Phì, Tỉnh Hà Giang	Sản xuất thực phẩm khác chưa được phân vào đâu	5100445523	13-01-2017
Hợp tác xã thương mại dịch vụ nông lâm nghiệp Chiến Phố	Hà Giang	Chiến Phố Thượng - Xã Chiến Phố - Huyện Hoàng Su Phì - Hà Giang		5100441906	22-08-2016
Ban quản lý chương trình giảm nghèo dựa trên phát triển hàng hóa (CPRP) xã Pờ Ly Ngài	Hà Giang	Thôn Chàng Chảy - Xã Pờ Ly Ngài - Huyện Hoàng Su Phì - Hà Giang	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5100439618	27-05-2016
Trung tâm giáo dục nghề nghiệp - Giáo dục thường xuyên	Hà Giang	Tổ 2 - Thị trấn Vinh Quang - Huyện Hoàng Su Phì - Hà Giang	Dạy nghề	5100439512	18-05-2016
HợP TáC Xã CHăN NUôI Và CUNG ứNG DịCH Vụ THú Y, CON GIốNG HOàNG SU PHì	Hà Giang	Tổ 3 - TT Vinh Quang - Thị trấn Vinh Quang - Huyện Hoàng Su Phì - Hà Giang	Chăn nuôi trâu, bò	5100439054	05-05-2016
HợP TáC Xã THU MUA, NUôI TRồNG, CHế BIếN CâY THUốC NAM Xã NậM TY	Hà Giang	Thôn Nậm Ty - Xã Nậm Tỵ - Huyện Hoàng Su Phì - Hà Giang	Trồng cây dược liệu	5100439008	04-05-2016
Chi Nhánh Công Ty TNHH Thái Nguyên Trà Xanh Tại Hà Giang	Hà Giang	Khu 4 - Thị trấn Vinh Quang - Huyện Hoàng Su Phì - Hà Giang	Bán buôn thực phẩm	4601165042-001	25-04-2016
Hợp Tác Xã DVTH nông lâm nghiệp Khánh Thành	Hà Giang	Thôn Nậm Cồm - Xã Ngàm Đăng Vài - Huyện Hoàng Su Phì - Hà Giang	Trồng cây ăn quả	5100434176	07-12-2015
Hợp tác xã sản xuất và xuất khẩu nông lâm sản	Hà Giang	Thôn Khu Chợ - Xã Nậm Dịch - Huyện Hoàng Su Phì - Hà Giang	Trồng cây chè	5100433285	06-10-2015
HTX thương mại, dịch vụ tổng hợp Bảo Nam huyện Hoàng Su Phì	Hà Giang	Tổ 5 - Thị trấn Vinh Quang - Huyện Hoàng Su Phì - Hà Giang	Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác còn lại chưa được phân vào đâu trong các cửa hàng chuyên doanh	5100431601	01-07-2015
Hợp tác xã chè Hồ Thầu	Hà Giang	Thôn Tân Phong - Xã Hồ Thầu - Huyện Hoàng Su Phì - Hà Giang	Trồng cây chè	5100431513	18-06-2015
BQL giảm nghèo dựa trên phát triển hàng hóa(CPRP) xã Sán Sả Hồ	Hà Giang	xã Sán Sả Hồ - Xã Sán Xả Hồ - Huyện Hoàng Su Phì - Hà Giang	Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu	5100431457	15-06-2015
HTX ươm, gieo trồng, chế biến kinh doanh cây dược liệu xã Hồ Thầu	Hà Giang	Thôn Chiến thắng - Xã Hồ Thầu - Huyện Hoàng Su Phì - Hà Giang	Trồng cây lâu năm khác	5100431432	15-06-2015
BQL Chương trình giảm nghèo dựa trên phát triển hàng hóa (CPRP) Túng Sán	Hà Giang	xã Túng Sán - Xã Túng Sán - Huyện Hoàng Su Phì - Hà Giang	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	5100431383	11-06-2015
BQL giảm nghèo dựa trên phát triển hàng hóa (CPRP) xã Nậm Ty	Hà Giang	xã Nậm Ty - Xã Nậm Tỵ - Huyện Hoàng Su Phì - Hà Giang	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	5100431390	11-06-2015
BQL Chương trình giảm nghèo dựa trên phát triển hàng hóa (CPRP) xã Chiến Phố	Hà Giang	Chiến phố Thượng - Xã Chiến Phố - Huyện Hoàng Su Phì - Hà Giang	Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu	5100431182	05-06-2015
BQL chương trình giảm nghèo dywah trên phát triển hàng hóa tỉnh HG(CPRP) xã Tụ Nhân	Hà Giang	xã Tụ Nhân - Xã Tụ Nhân - Huyện Hoàng Su Phì - Hà Giang	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5100430848	28-05-2015
Ban quản lý chương trình giảm nghèo dựa trên phát triển hàng hóa (CPRP) xã Pố Lồ	Hà Giang	xã Pố Lồ - Xã Pố Lồ - Huyện Hoàng Su Phì - Hà Giang	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5100430830	28-05-2015
Ban quản lý Chương trình giảm nghèo dựa trên phát triển hàng hóa (CPRP) xã Hồ Thầu	Hà Giang	thôn Tân Minh - Xã Hồ Thầu - Huyện Hoàng Su Phì - Hà Giang	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5100430767	26-05-2015
Tổ Hỗ TRợ CHươNG TRìNH GIảM NGHèO DựA TRêN PHáT TRIểN HàNG HóA (CPRP) HUYệN HSP	Hà Giang	Thị trấn Vinh Quang - Thị trấn Vinh Quang - Huyện Hoàng Su Phì - Hà Giang	Hoạt động dịch vụ phục vụ cá nhân khác	5100430703	20-05-2015
Trạm Bảo vệ thực vật	Hà Giang	tô 2 - Thị trấn Vinh Quang - Huyện Hoàng Su Phì - Hà Giang	Chăn nuôi	5100429391	09-03-2015
