Công Ty TNHH Một Thành Viên Công Nghiệp Việt Nam	Hà Nam	Khu Công nghiệp Đồng Văn I, Xã Bạch Thượng, Huyện Duy Tiên, Tỉnh Hà Nam	Sản xuất máy chuyên dụng khác	0700827116	20-05-2019
Công Ty TNHH Teijin Carbon Việt Nam	Hà Nam	Lô CN 04+08, Khu Công nghiệp Đồng Văn III, Xã Hoàng Đông, Huyện Duy Tiên, Tỉnh Hà Nam	Sản xuất khác chưa được phân vào đâu	0700826659	04-05-2019
Công Ty TNHH Dịch Vụ Thương Mại Trường Sơn Hn	Hà Nam	Lô C7, Khu TTTM KCN Đồng Văn, Thị Trấn Đồng Văn, Huyện Duy Tiên, Tỉnh Hà Nam	Bán buôn đồ dùng khác cho gia đình	0700826320	25-04-2019
Công Ty TNHH Cơ Khí Và Thương Mại Tấn Tú	Hà Nam	Khu đô thị Thần Nữ, Xã Bạch Thượng, Huyện Duy Tiên, Tỉnh Hà Nam	Rèn, dập, ép và cán kim loại; luyện bột kim loại	0700825944	11-04-2019
Công Ty TNHH Ziiu Hà Nội	Hà Nam	Khu Công Nghiệp Đồng Văn II, Xã Bạch Thượng, Huyện Duy Tiên, Tỉnh Hà Nam	Sản xuất thiết bị truyền thông	0700825172	21-03-2019
Công Ty TNHH Trang Sức Minh Chí	Hà Nam	Thôn Hòa Trung B, Xã Tiên Nội, Huyện Duy Tiên, Tỉnh Hà Nam	Sản xuất đồ kim hoàn và chi tiết liên quan	0700824066	25-02-2019
Công Ty TNHH Thương Mại Và Dịch Vụ Tường Thúy	Hà Nam	Khu đô thị Đồng Văn Xanh, Xã Duy Hải, Huyện Duy Tiên, Tỉnh Hà Nam	Nhà hàng và các dịch vụ ăn uống phục vụ lưu động	0700823672	18-02-2019
Công Ty TNHH Thương Mại Châu Hoàng Anh	Hà Nam	Yên Lệnh 3, Xã Chuyên Ngoại, Huyện Duy Tiên, Tỉnh Hà Nam	Vận tải hàng hóa bằng đường bộ	0700823432	25-01-2019
Công Ty Trách Nhiệm Hữu Hạn Một Thành Viên Ts Vina	Hà Nam	Tầng 3, Chợ Đồng Văn, Thị Trấn Đồng Văn, Huyện Duy Tiên, Tỉnh Hà Nam	Bán lẻ hàng hóa khác lưu động hoặc tại chợ	0700823305	24-01-2019
Công Ty TNHH Dược Phẩm An Đỗ	Hà Nam	Thôn Phúc Thành, Xã Châu Giang, Huyện Duy Tiên, Tỉnh Hà Nam		0700822534	16-01-2019
Công Ty TNHH Dịch Vụ Và Thương Mại Thiên Ân Phát	Hà Nam	Số 5, phố Phú Hòa, Thị Trấn Hòa Mạc, Huyện Duy Tiên, Tỉnh Hà Nam	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0700822100	03-01-2019
Công Ty TNHH Inox Hồng Tâm Phát	Hà Nam	Quốc lộ 38, thôn Quan Phố, Xã Chuyên Ngoại, Huyện Duy Tiên, Tỉnh Hà Nam	Gia công cơ khí; xử lý và tráng phủ kim loại	0700819436	12-11-2018
Công Ty Trách Nhiệm Hữu Hạn Thương Mại Dịch Vụ Thảo An Phát	Hà Nam	Thôn Hoàng Hạ, Xã Hoàng Đông, Huyện Duy Tiên, Tỉnh Hà Nam	Tái chế phế liệu	0700818915	02-11-2018
Công Ty CP Đầu Tư Thương Mại Và Dịch Vụ Quốc Tế Hải Trung	Hà Nam	Tầng 3, khu nhà điều hành Ban QL KCN Đồng Văn I, Thị Trấn Đồng Văn, Huyện Duy Tiên, Tỉnh Hà Nam	Thu gom rác thải không độc hại	0700818457	17-10-2018
Công Ty TNHH Đầu Tư Xây Dựng Và Bất Động Sản Phúc Thành	Hà Nam	Hòa Trung B, Xã Tiên Nội, Huyện Duy Tiên, Tỉnh Hà Nam	Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất	0700818023	03-10-2018
Công Ty TNHH Dịch Vụ Thương Mại Xây Dựng Hưng Thịnh	Hà Nam	Phố Quý Hòa, Thị Trấn Hòa Mạc, Huyện Duy Tiên, Tỉnh Hà Nam	Hoạt động xây dựng chuyên dụng khác	0700817848	01-10-2018
Công Ty TNHH Thương Mại & Dịch Vụ Techcuum	Hà Nam	Xóm Bắc Hòa, Thị Trấn Hòa Mạc, Huyện Duy Tiên, Tỉnh Hà Nam	Bán buôn máy móc, thiết bị và phụ tùng máy khác	0700817679	26-09-2018
Công Ty TNHH Công Nghiệp Phụ Trợ Gia Công Chính Xác Linh Giang	Hà Nam	Khu Công nghiệp Đồng Văn I, Xã Bạch Thượng, Huyện Duy Tiên, Tỉnh Hà Nam	Sản xuất các cấu kiện kim loại	0700817372	12-09-2018
Công Ty TNHH Thương Mại Lâm Phát Hn	Hà Nam	Thôn Đô Lương, Xã Yên Bắc, Huyện Duy Tiên, Tỉnh Hà Nam	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0700817333	10-09-2018
Công Ty TNHH Sản Xuất I.j Tech Vina	Hà Nam	Khu Công nghiệp Đồng Văn II, Xã Bạch Thượng, Huyện Duy Tiên, Tỉnh Hà Nam	Đúc kim loại màu	0700817125	30-08-2018
Công Ty TNHH Xuất Nhập Khẩu Ema - Gold Việt Nam	Hà Nam	Tổ 6, Phố Nguyễn Hữu Tiến, Thị Trấn Đồng Văn, Huyện Duy Tiên, Tỉnh Hà Nam	Bán buôn đồ dùng khác cho gia đình	0700817037	29-08-2018
