Công Ty Cổ Phần Tmonitor	Hà Nội	Phòng 301, tầng 3, tòa nhà Kim Ánh, số 1 ngõ 78 đường Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội	Xuất bản phần mềm	0108777835	2019-06-26T00:00:00Z
Công Ty Cổ Phần Tập Đoàn Đầu Tư Công Nghệ Xạ Hiếm New	Hà Nội	Số 1/121 Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội	Sản xuất sản phẩm từ chất khoáng phi kim loại khác chưa được phân vào đâu	0108800668	2019-06-26T00:00:00Z
Công Ty TNHH Dịch Vụ Và Công Nghệ Tnt Hà Nội	Hà Nội	Số 2 ngõ 1 đường Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội	Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu	0108800643	2019-06-26T00:00:00Z
Công Ty TNHH Thục Vĩ Land	Hà Nội	Số 14, Ngách 79/40 Dương Quảng Hàm, Tổ 33, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội	Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất	0108798602	2019-06-26T00:00:00Z
Công Ty TNHH Thương Mại Dịch Vụ Và Công Nghệ Quỳnh Chi	Hà Nội	Số 8, ngõ 125, Đường Nguyễn Ngọc Vũ , Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội	Bán buôn thiết bị và linh kiện điện tử, viễn thông	0108800876	2019-06-26T00:00:00Z
Công Ty TNHH Dịch Vụ Và Thương Mại Tường Minh	Hà Nội	Số 185 Nguyễn Khang, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0108799620	2019-06-26T00:00:00Z
Công Ty TNHH Minores Vina	Hà Nội	Số 05, ngõ 107 Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội	Dịch vụ phục vụ đồ uống	0108799148	2019-06-25T00:00:00Z
Công Ty Cổ Phần Hadtech	Hà Nội	B11, Tập thể Viện Ứng dụng công nghệ, ngõ 61/21/8 phố Phạm Tuấn Tài,, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội	Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính	0108797528	2019-06-25T00:00:00Z
Công Ty TNHH Thương Mại Toàn Cầu P&q	Hà Nội	Tầng 8 tòa nhà Sannam, số 78 phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội	Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải	0108798465	2019-06-25T00:00:00Z
Công Ty TNHH Nhập Khẩu Và Thương Mại Phương Đông	Hà Nội	Số 03, khu X1, tổ 61, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội	Cắt tạo dáng và hoàn thiện đá	0108796919	2019-06-25T00:00:00Z
Công Ty Cổ Phần A.f.v	Hà Nội	Tầng 12, tòa nhà H.L, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội	Hoàn thiện công trình xây dựng	0108796228	2019-06-24T00:00:00Z
Công Ty TNHH Misung E&c Vina	Hà Nội	Số 314, ngõ 37 Trần Kim Xuyến, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0108795175	2019-06-24T00:00:00Z
