Công Ty Cổ Phần Tvdv Đo Đạc Tài Nguyên - Môi Trường Thanh Hà	Hải Dương	Đội 5 thôn Cập Thượng, Xã Tiền Tiến, Huyện Thanh Hà, Tỉnh Hải Dương	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	0801285290	10-04-2019
Công Ty TNHH Vàng Bạc Đức Hòa	Hải Dương	Xóm 4, Xã Thanh Hải, Huyện Thanh Hà, Tỉnh Hải Dương	Sản xuất đồ kim hoàn và chi tiết liên quan	0801282807	19-03-2019
Công Ty TNHH Dv&tm Đức Cường	Hải Dương	Thôn Hoàng Xá, Xã Quyết Thắng, Huyện Thanh Hà, Tỉnh Hải Dương	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	0801281320	06-03-2019
Công Ty TNHH Xnk Quốc Tế Hoa Việt	Hải Dương	Thôn Lang Can, Xã Thanh Lang, Huyện Thanh Hà, Tỉnh Hải Dương	Sản xuất sản phẩm điện tử dân dụng	0801280574	26-02-2019
Công Ty TNHH Công Nghiệp Thuận Phát Hải Dương	Hải Dương	Thôn Vĩnh Linh, Xã Thanh Cường, Huyện Thanh Hà, Tỉnh Hải Dương	Gia công cơ khí; xử lý và tráng phủ kim loại	0801278663	13-02-2019
Công Ty TNHH Xây Dựng Và Vận Tải Thịnh Hưng	Hải Dương	Khu 7, Thị Trấn Thanh Hà, Huyện Thanh Hà, Tỉnh Hải Dương	Vận tải hàng hóa bằng đường bộ	0801278247	30-01-2019
Công Ty TNHH  Korea Hd Group	Hải Dương	Thôn Song Động, Xã Tân An, Huyện Thanh Hà, Tỉnh Hải Dương	Bán buôn đồ dùng khác cho gia đình	0801275574	09-01-2019
Công Ty TNHH Xây Dựng Thương Mại Hoàng Quân	Hải Dương	Thôn Cam Lộ, Xã Tân Việt, Huyện Thanh Hà, Tỉnh Hải Dương	Chuẩn bị mặt bằng	0801264741	17-11-2018
Công Ty TNHH Một Thành Viên Thương Mại Và Dịch Vụ Sản Xuất Phạm Gia	Hải Dương	Thôn Du La, Xã Cẩm Chế, Huyện Thanh Hà, Tỉnh Hải Dương	May trang phục (trừ trang phục từ da lông thú)	0801260497	24-09-2018
Công Ty TNHH Đức Thanh Hd	Hải Dương	Thôn Văn Xuyên, Xã Phượng Hoàng, Huyện Thanh Hà, Tỉnh Hải Dương	Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê	0801259822	18-09-2018
Công Ty TNHH May Phú Dương	Hải Dương	Thôn Đa Khê, Xã Thanh Khê, Huyện Thanh Hà, Tỉnh Hải Dương	May trang phục (trừ trang phục từ da lông thú)	0801256878	08-08-2018
Công Ty TNHH Thương Mại Và Sản Xuất Tuấn Trí	Hải Dương	Xóm 5, Xã Thanh Khê, Huyện Thanh Hà, Tỉnh Hải Dương	Bán buôn máy móc, thiết bị và phụ tùng máy khác	0801256405	03-08-2018
Công Ty TNHH Tm Công Nghiệp Cih Vina	Hải Dương	Thôn Hoàng Xá, Xã Quyết Thắng, Huyện Thanh Hà, Tỉnh Hải Dương	Bán buôn chuyên doanh khác chưa được phân vào đâu	0801256109	02-08-2018
