Công Ty TNHH Thắng Lý Đà Bắc	Hòa Bình	Thôn Công, Thị Trấn Đà Bắc, Huyện Đà Bắc, Tỉnh Hòa Bình	Vận tải hàng hóa bằng đường bộ	5400498371	23-10-2018
Công Ty TNHH Thủy Sản Mavin Hòa Bình	Hòa Bình	Thôn Dưng, Xã Hiền Lương, Huyện Đà Bắc, Tỉnh Hòa Bình	Nuôi trồng thuỷ sản nội địa	5400498075	12-10-2018
Công Ty TNHH Mtv Hiền Lương	Hòa Bình	Xóm Trúc Sơn, Xã Toàn Sơn, Huyện Đà Bắc, Tỉnh Hòa Bình	Xây dựng nhà các loại	5400496864	15-08-2018
Công Ty TNHH Thương Mại Và Giáo Dục Quốc Hưng	Hòa Bình	Tổ 2, tiểu khu Bờ, Thị Trấn Đà Bắc, Huyện Đà Bắc, Tỉnh Hòa Bình	Giáo dục khác chưa được phân vào đâu	5400496141	24-07-2018
Công Ty TNHH Tài Chính Gia Long Chi Nhánh Đà Bắc	Hòa Bình	Thôn Mu, Thị Trấn Đà Bắc, Huyện Đà Bắc, Tỉnh Hòa Bình	Hoạt động cấp tín dụng khác	5400481762-006	05-06-2018
Chi Nhánh Công Ty Cổ Phần Xây Dựng Giao Thông Hòa Bình - Hạt Giao Thông Số 3	Hòa Bình	Tiểu khu Bờ, Thị Trấn Đà Bắc, Huyện Đà Bắc, Tỉnh Hòa Bình	Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường sắt và đường bộ	5400492299-005	04-06-2018
Chi Nhánh Công Ty Cổ Phần Xây Dựng Giao Thông Hòa Bình - Hạt Giao Thông Số 4	Hòa Bình	Xóm Nà Mười, Xã Mường Chiềng, Huyện Đà Bắc, Tỉnh Hòa Bình	Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường sắt và đường bộ	5400492299-003	04-06-2018
Công Ty Cổ Phần Đầu Tư Phát Triển Thương Mại Phúc Hưng	Hòa Bình	Tiểu khu Liên Phương, Thị Trấn Đà Bắc, Huyện Đà Bắc, Tỉnh Hòa Bình	Trồng trọt, chăn nuôi hỗn hợp	5400487838	03-01-2018
Công Ty TNHH Đầu Tư Nông Nghiệp Trung Dũng	Hòa Bình	Xóm Hương Lý, Xã Tu Lý, Huyện Đà Bắc, Tỉnh Hòa Bình	Trồng rau, đậu các loại và trồng hoa, cây cảnh	5400486182	06-11-2017
Công Ty TNHH Xây Dựng Tuấn Phát Hòa Bình	Hòa Bình	Xóm Trúc Sơn, Xã Toàn Sơn, Huyện Đà Bắc, Tỉnh Hòa Bình	Xây dựng nhà các loại	5400485799	13-10-2017
Công Ty TNHH Tư Vấn Và Xây Dựng 587	Hòa Bình	Thôn Mu, Thị Trấn Đà Bắc, Huyện Đà Bắc, Tỉnh Hòa Bình	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	5400485742	12-10-2017
Công Ty TNHH Vcv Sông Đà	Hòa Bình	Xóm Túp, Xã Tiền Phong, Huyện Đà Bắc, Tỉnh Hòa Bình	Nuôi trồng thuỷ sản nội địa	5400485478	02-10-2017
Công Ty TNHH Đặng Thành Doanh	Hòa Bình	Tiểu khu Liên Phương, Thị Trấn Đà Bắc, Huyện Đà Bắc, Tỉnh Hòa Bình	Xây dựng công trình kỹ thuật dân dụng khác	5400485213	15-09-2017
Công Ty Cổ Phần Đầu Tư Thương Mại Ngọc Ngà	Hòa Bình	Xóm Riêng , Xã Tu Lý, Huyện Đà Bắc, Tỉnh Hòa Bình	Chăn nuôi lợn	5400482445	08-06-2017
Công Ty Cổ Phần Tư Vấn Và Xây Lắp Mạnh Tiến	Hòa Bình	Nhà ông Lê Văn Thêm, tiểu khu Bờ, Thị Trấn Đà Bắc, Huyện Đà Bắc, Tỉnh Hòa Bình	Xây dựng công trình kỹ thuật dân dụng khác	5400480550	24-03-2017
Công Ty TNHH Một Thành Viên Năm Huyên	Hòa Bình	Xóm Phú Sơn, Xã Cao Sơn, Huyện Đà Bắc, Tỉnh Hòa Bình	Vận tải hàng hóa bằng đường bộ	5400480529	23-03-2017
Công Ty Cổ Phần Đầu Tư Cảnh Hồ Hoà Bình	Hòa Bình	Xóm Hồm, Xã Đồng Ruộng, Huyện Đà Bắc, Tỉnh Hòa Bình	Cưa, xẻ, bào gỗ và bảo quản gỗ	5400480423	17-03-2017
Công Ty Cổ Phần Du Lịch Cộng Đồng Đà Bắc	Hòa Bình	Tiểu khu Liên Phương, Thị Trấn Đà Bắc, Huyện Đà Bắc, Tỉnh Hòa Bình	Điều hành tua du lịch	5400479890	23-02-2017
Công Ty TNHH Đầu Tư Và Phát Triển Du Lịch Đại Dương	Hòa Bình	Nhà bà Đỗ Thanh Nam, tiểu khu Liên Phương, Thị Trấn Đà Bắc, Huyện Đà Bắc, Tỉnh Hòa Bình	Điều hành tua du lịch	5400478128	07-12-2016
CôNG TY Cổ PHầN Tư VấN XâY DựNG 369	Hòa Bình	Tiểu khu Thạch Lý - Thị trấn Đà Bắc - Huyện Đà Bắc - Hòa Bình	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	5400476392	09-09-2016
Trường Trung học Phổ thông Yên Hòa	Hòa Bình	Xóm Kìa - Xã Yên Hòa - Huyện Đà Bắc - Hòa Bình		5400475991	24-08-2016
CôNG TY TNHH KIếN TRúC NộI THấT NGUYễN QUANG	Hòa Bình	Nhà ông Lê Văn Độ, thôn Công - Thị trấn Đà Bắc - Huyện Đà Bắc - Hòa Bình		5400475550	27-07-2016
Hợp tác xã xây dựng Quốc Khánh	Hòa Bình	Xóm Thầm Luông - Xã Đoàn Kết - Huyện Đà Bắc - Hòa Bình		5400475374	13-07-2016
Hợp tác xã xây dựng Thịnh Phát	Hòa Bình	Xóm Sèo - Xã Cao Sơn - Huyện Đà Bắc - Hòa Bình	Xây dựng công trình kỹ thuật dân dụng	5400475053	04-07-2016
Công Ty TNHH Một Thành Viên Tuấn Sơn Phát	Hòa Bình	Tiểu khu Thạch Lý - Thị trấn Đà Bắc - Huyện Đà Bắc - Hòa Bình	Xây dựng công trình kỹ thuật dân dụng khác	5400473930	12-05-2016
Trường Trung học cơ sở Đồng Chum	Hòa Bình	Xóm Mới 1 - Xã Đồng Chum - Huyện Đà Bắc - Hòa Bình	Giáo dục trung học cơ sở và trung học phổ thông	5400473419	11-04-2016
Trường Mầm non Đồng Nghê	Hòa Bình	Xóm Mọc - Xã Đồng Nghê - Huyện Đà Bắc - Hòa Bình	Giáo dục mầm non	5400473401	11-04-2016
Công Ty TNHH Thu Lương	Hòa Bình	Tiểu khu Thạch Lý - Thị trấn Đà Bắc - Huyện Đà Bắc - Hòa Bình	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	5400473017	31-03-2016
Công Ty TNHH Ngát Tình	Hòa Bình	Thôn Công - Thị trấn Đà Bắc - Huyện Đà Bắc - Hòa Bình	Bán mô tô, xe máy	5400472768	25-03-2016
Trường Tiểu học Tân Pheo B	Hòa Bình	Xóm Chàm - Xã Tân Pheo - Huyện Đà Bắc - Hòa Bình	Giáo dục mầm non	5400472743	24-03-2016
Trường Mầm non Tiền Phong	Hòa Bình	Xóm Điêng - Xã Tiền Phong - Huyện Đà Bắc - Hòa Bình	Giáo dục mầm non	5400472486	15-03-2016
