Công Ty Cổ Phần Phát Triển Chăn Nuôi Hưng Thịnh	Hưng Yên	Đường 38B, Thôn Hoàng Cả, Thị Trấn Ân Thi, Huyện Ân Thi, Tỉnh Hưng Yên	Sản xuất thức ăn gia súc, gia cầm và thuỷ sản	0901057259	06-06-2019
Công Ty TNHH Thương Mại Dịch Vụ Việt Hàn Hưng Yên	Hưng Yên	Thôn An Trạch, Xã Đặng Lễ, Huyện Ân Thi, Tỉnh Hưng Yên	Sản xuất đồ điện dân dụng	0901053222	20-03-2019
Công Ty TNHH Bảo Vệ Tiến Đạt	Hưng Yên	Thôn Đỗ Thượng, Xã Quang Vinh, Huyện Ân Thi, Tỉnh Hưng Yên	Hoạt động bảo vệ cá nhân	0901053060	15-03-2019
Công Ty TNHH Dịch Vụ Thương Mại Trang Anh Tân Phúc	Hưng Yên	Thôn Ngọc Nhuế, Xã Tân Phúc, Huyện Ân Thi, Tỉnh Hưng Yên	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0901052839	13-03-2019
Công Ty TNHH Phát Triển Giáo Dục Quốc Tế Piedu	Hưng Yên	Thôn Lã Xá, Xã Cẩm Ninh, Huyện Ân Thi, Tỉnh Hưng Yên	Dịch vụ hỗ trợ giáo dục	0901052155	01-03-2019
Công Ty TNHH Thương Mại Tân Lộc Phát Hưng Yên	Hưng Yên	Thôn Đỗ Thượng, Xã Quang Vinh, Huyện Ân Thi, Tỉnh Hưng Yên	Chuẩn bị mặt bằng	0901051810	26-02-2019
Công Ty Cổ Phần Covafeed Việt Nam	Hưng Yên	Thôn Trung, Thị Trấn Ân Thi, Huyện Ân Thi, Tỉnh Hưng Yên	Sản xuất thức ăn gia súc, gia cầm và thuỷ sản	0901049339	05-01-2019
Công Ty TNHH Thực Phẩm Thực Vật  Quốc Tế Lab Hưng Yên	Hưng Yên	Thôn Đa Lộc, Xã Đa Lộc, Huyện Ân Thi, Tỉnh Hưng Yên	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	0901046930	07-12-2018
Công Ty Cổ Phần Đầu Tư Và Thương Mại Nhất Thủy	Hưng Yên	Chợ Đìa, Xã Đặng Lễ, Huyện Ân Thi, Tỉnh Hưng Yên	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0901045729	15-11-2018
Công Ty TNHH Thương Mại Dịch Vụ Và Sản Xuất Anh Nghĩa	Hưng Yên	Thôn Bình Hồ, Xã Quảng Lãng, Huyện Ân Thi, Tỉnh Hưng Yên	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0901045260	07-11-2018
Công Ty TNHH Insateam Vina	Hưng Yên	Thôn Nhân Vũ, Xã Nguyễn Trãi, Huyện Ân Thi, Tỉnh Hưng Yên	Sản xuất linh kiện điện tử	0901041298	29-08-2018
Công Ty TNHH Xây Dựng Thương Mại Sản Xuất Vinaqt	Hưng Yên	Đội 4, Thôn Phần Lâm, Xã Đào Dương, Huyện Ân Thi, Tỉnh Hưng Yên	Sản xuất sơn, véc ni và các chất sơn, quét tương tự; sản xuất mực in và ma tít	0901040093	09-08-2018
Công Ty TNHH Tâm Thiện Phúc	Hưng Yên	Phố Bùi Thị Cúc, Thị Trấn Ân Thi, Huyện Ân Thi, Tỉnh Hưng Yên	Bán buôn đồ dùng khác cho gia đình	0901039845	06-08-2018
Công Ty TNHH Dinh Dưỡng Delta	Hưng Yên	Cụm công nghiệp Quang Vinh, Xã Quang Vinh, Huyện Ân Thi, Tỉnh Hưng Yên	Sản xuất thức ăn gia súc, gia cầm và thuỷ sản	0901039771	03-08-2018
Công Ty TNHH Dương Anh Bình	Hưng Yên	Thôn Đan Tràng, Xã Hồng Vân, Huyện Ân Thi, Tỉnh Hưng Yên	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0901039683	02-08-2018
Công Ty Cổ Phần Kinh Doanh Thương Mại Dh	Hưng Yên	Thôn Bình Hồ, Xã Quảng Lãng, Huyện Ân Thi, Tỉnh Hưng Yên	Bán buôn chuyên doanh khác chưa được phân vào đâu	0901039468	01-08-2018
Công Ty TNHH Ots	Hưng Yên	Xóm 2, Thôn Cù Tu, Xã Xuân Trúc, Huyện Ân Thi, Tỉnh Hưng Yên	Dịch vụ hỗ trợ tổng hợp	0901038312	16-07-2018
Công Ty Cổ Phần Đầu Tư Phát Triển Hàng Hải Bình An Hưng Yên	Hưng Yên	Xóm 3, Thôn Mễ Xá, Xã Nguyễn Trãi, Huyện Ân Thi, Tỉnh Hưng Yên	Vận tải hàng hóa ven biển và viễn dương	0901037774	29-06-2018
Công Ty TNHH Công Nghệ Rapido	Hưng Yên	Thôn Đình Hồ, Xã Quảng Lãng, Huyện Ân Thi, Tỉnh Hưng Yên	Sản xuất đồ điện dân dụng	0901037580	28-06-2018
Công Ty TNHH Thương Mại Sản Xuất Và Xây Dựng Việt Hải	Hưng Yên	Thôn Đỗ Hạ, Xã Quang Vinh, Huyện Ân Thi, Tỉnh Hưng Yên	Gia công cơ khí; xử lý và tráng phủ kim loại	0901037196	22-06-2018
