Công Ty TNHH Mtv Hiền Cúc	Lai Châu	Số nhà 247, đường Lê Duẩn, tổ 1, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Gia công cơ khí; xử lý và tráng phủ kim loại	6200103155	22-06-2019
Công Ty TNHH Mtv Long Thành	Lai Châu	Số nhà 186, đường 19/8, tổ 12, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn ô tô và xe có động cơ khác	6200103074	18-06-2019
Công Ty TNHH Thương Mại Lư Trung	Lai Châu	Só nhà 169, tổ 2, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	6200102916	03-06-2019
Công Ty TNHH Ô Tô Tuấn Phương	Lai Châu	Đường 30/4, tổ 23, Phường Đông Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn ô tô và xe có động cơ khác	6200102779	19-05-2019
Công Ty TNHH Mtv Đầu Tư Giáo Dục Đăng Khôi	Lai Châu	Số 007 Huỳnh Thúc Kháng, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Giáo dục khác chưa được phân vào đâu	6200102761	19-05-2019
Công Ty TNHH Xây Dựng Thương Mại Sản Xuất Phương Anh	Lai Châu	Bản Sùng Chô 1, xã Nậm Loỏng, Phường Quyết Thắng, Thành phố Lai Châu, Tỉnh Lai Châu	Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao	6200102560	02-05-2019
Công Ty TNHH Vận Tải Công Nghệ Mai Linh Lai Châu	Lai Châu	Tổ 18, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)	6200102384	06-04-2019
Công Ty Cổ Phần Khai Thác Và Chế Biến Đất Hiếm Nậm Xe	Lai Châu	Tổ 23, Phường Đông Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Khai thác quặng kim loại quí hiếm	6200102095	13-03-2019
Công Ty TNHH Dương Gia Lai Châu	Lai Châu	Số nhà 328 Trần Hưng Đạo, Tổ 11, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn gạo	6200101736	25-01-2019
Công Ty TNHH Ngọc Khánh	Lai Châu	Tổ 26, Phường Đông Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Trồng rừng và chăm sóc rừng	6200101239	28-12-2018
Công Ty Cổ Phần Thành An Lai Châu	Lai Châu	Số nhà 207, đường 19/8, Tổ 3, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn ô tô và xe có động cơ khác	6200100676	17-12-2018
Công Ty TNHH Vệ Sinh Công Nghiệp Thành Phát	Lai Châu	SN 063 Hoàng Quốc Việt, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Vệ sinh chung nhà cửa	6200100637	14-12-2018
Công Ty TNHH Thương Mại Dịch Vụ Vận Tải Xây Dựng Đại Phong	Lai Châu	Số 354 đường Trần Hưng Đạo, tổ 11, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	6200099910	12-11-2018
Công Ty TNHH Mtv Tài Chính	Lai Châu	Tổ 8, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Hoạt động cấp tín dụng khác	6200100002	07-11-2018
Công Ty Cổ Phần Phát Triển Thương Hiệu Chè Lai Châu	Lai Châu	Tổ 8, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn thực phẩm	6200099318	20-09-2018
Công Ty Cổ Phần Đất Hiếm Tây Bắc	Lai Châu	Tổ 23, Phường Đông Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Khai thác quặng kim loại quí hiếm	6200099163	13-09-2018
Công Ty TNHH Mtv Quang Trung	Lai Châu	Số 147 đường Trần Phú, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Sản xuất giường, tủ, bàn, ghế	6200099082	10-09-2018
Công Ty TNHH Mtv Tm Hương Giang	Lai Châu	Bản Sùng Chô, Xã Nậm Loỏng, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn tổng hợp	6200099029	28-08-2018
Công Ty TNHH Tm Và Dv Minh Huân Phát	Lai Châu	Số 275, đường Trần Hưng Đạo, tổ 12, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	6200098875	14-08-2018
Công Ty Cổ Phần Khoa Học Công Nghệ Dược Liệu Tây Bắc	Lai Châu	Tổ 2, Phường Quyết Tiến, Thành phố Lai Châu, Tỉnh Lai Châu	Trồng cây gia vị, cây dược liệu	6200098868	10-08-2018
Công Ty Cổ Phần Tư Vấn Xây Dựng Điện Biên Lai Châu	Lai Châu	Tổ 1, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	6200098829	06-08-2018
Công Ty TNHH Mtv Thương Mại Và Dịch Vụ Tuấn Hưng	Lai Châu	Số nhà 207, tổ 1, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	6200098794	27-07-2018
Công Ty TNHH Ô Tô Hữu Nghị Lai Châu	Lai Châu	Tổ 1, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn ô tô và xe có động cơ khác	6200098762	27-07-2018
Công Ty Cổ Phần Đầu Tư Và Xây Dựng Thiên Hương	Lai Châu	Tổ 1, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Xây dựng nhà các loại	6200098716	25-07-2018
Công Ty TNHH Mtv Đông Dũng	Lai Châu	Tổ 5, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn thực phẩm	6200098709	24-07-2018
Công Ty Cổ Phần Dược Phẩm An Hưng	Lai Châu	Khu Trung tâm thương mại, Tổ 18, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu		6200098579	12-07-2018
Công Ty TNHH Mtv An Bình Lc	Lai Châu	Số nhà 105, đường Nguyễn Thị Định, tổ 9, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn máy móc, thiết bị và phụ tùng máy nông nghiệp	6200098522	05-07-2018
Công Ty Cổ Phần Đầu Tư Và Xây Dựng Vạn Phúc Lai Châu	Lai Châu	Khu dân cư số 3, Tổ 1, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Sản xuất, truyền tải và phân phối điện	6200098515	03-07-2018
Công Ty Cổ Phần Hatico	Lai Châu	Tổ 11, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Đại lý, môi giới, đấu giá	6200098473	28-06-2018
Công Ty Cổ Phần Thủy Điện Nậm Nho	Lai Châu	Số 03 Đường D1, Tổ 19, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Sản xuất, truyền tải và phân phối điện	6200098258	19-06-2018
Công Ty Cổ Phần Thủy Điện Nậm So 1	Lai Châu	Tổ 23, Phường Đông Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Sản xuất, truyền tải và phân phối điện	6200098378	13-06-2018
Công Ty TNHH Thương Mại Và Dịch Vụ Cf Mart	Lai Châu	Tổ 2, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Bán buôn tổng hợp	6200098272	08-06-2018
Công Ty Cổ Phần Thanh Bình Lai Châu	Lai Châu	Tổ 18, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	6200098265	06-06-2018
Công Ty Cổ Phần Đầu Tư Phát Triển Sơn Vũ Lai Châu	Lai Châu	Số 02 Nguyễn Đình Chiểu, Tổ 22, Phường Đông Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Sản xuất, truyền tải và phân phối điện	6200098226	04-06-2018
Công Ty Cổ Phần Năng Lượng Nậm Củm 5	Lai Châu	Số 18, Tổ 3, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Sản xuất, truyền tải và phân phối điện	6200098184	01-06-2018
Công Ty Cổ Phần Năng Lượng Nậm Củm 1	Lai Châu	Số 18, Tổ 3, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Sản xuất, truyền tải và phân phối điện	6200098191	01-06-2018
Công Ty Cổ Phần Năng Lượng Nậm Củm 6	Lai Châu	Số 18, Tổ 3, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Sản xuất, truyền tải và phân phối điện	6200098201	01-06-2018
Công Ty TNHH Mtv Ngân Hòa	Lai Châu	Số nhà 082B, đường Trần Hưng Đạo, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Xây dựng nhà các loại	6200098145	31-05-2018
Công Ty TNHH Mtv Vận Tải Tây Bắc	Lai Châu	Tổ 23, Phường Đông Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	6200098177	31-05-2018
Công Ty Cổ Phần Phát Triển Thủy Điện 86	Lai Châu	Số nhà 60, Đường Chu Văn An, tổ 1, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Sản xuất, truyền tải và phân phối điện	6200098152	31-05-2018
Công Ty TNHH Mtv Trường Quang Lc	Lai Châu	Tổ 1, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Xây dựng nhà các loại	6200098032	16-05-2018
Công Ty Cổ Phần Tư Vấn Nam Thanh	Lai Châu	Số nhà 041 Đường Huỳnh Thúc Kháng, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	6200098057	16-05-2018
Công Ty TNHH Mtv Xây Dựng Và Thương Mại Lâm Anh	Lai Châu	Số nhà 289 Vừ A Dính, Tổ 12, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Xây dựng nhà các loại	6200098018	11-05-2018
Công Ty TNHH Mtv In Quảng Cáo Đàm Thọ	Lai Châu	Tổ 7, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Quảng cáo	6200098000	11-05-2018
Công Ty TNHH Mtv Xây Dựng Và Thương Mại Anh Giang	Lai Châu	Số nhà 042, tổ 11, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Xây dựng nhà các loại	6200097952	07-05-2018
Công Ty Cổ Phần Thủy Điện Thành Phát Lai Châu	Lai Châu	Số nhà 021, tổ 5, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu	Sản xuất, truyền tải và phân phối điện	6200097920	07-05-2018
Chi Nhánh Công Ty TNHH Vĩnh Hường Tại Lai Châu	Lai Châu	Số nhà 58, phố Quyết Tiến, Tổ 19, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Xây dựng công trình kỹ thuật dân dụng khác	0600405671-001	07-05-2018
Công Ty TNHH Thương Mại Tỉnh Lai Châu	Lai Châu	Số nhà 26, phố Mường Kim, tổ 16, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu	Xây dựng nhà các loại	6200097913	03-05-2018
