Công Ty TNHH Mtv Xuất Nhập Khẩu C-v-h Lạng Sơn	Lạng Sơn	Số 177, Khu Phiêng Quăn, Thị Trấn Lộc Bình, Huyện Lộc Bình, Tỉnh Lạng Sơn	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	4900848664	16-04-2019
Công Ty TNHH Mtv Hường Quang	Lạng Sơn	Khu II, Thị Trấn Na Dương, Huyện Lộc Bình, Tỉnh Lạng Sơn	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	4900832294	20-07-2018
Công Ty TNHH Mtv Xuất Nhập Khẩu Hoàng Xanh	Lạng Sơn	Số nhà 31, Khu Nhà Thờ, Thị Trấn Lộc Bình, Huyện Lộc Bình, Tỉnh Lạng Sơn	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	4900827720	23-05-2018
Công Ty Cổ Phần Anh Tùng Ls	Lạng Sơn	Thôn Chi Ma, Xã Yên Khoái, Huyện Lộc Bình, Tỉnh Lạng Sơn	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	4900827470	17-05-2018
Công Ty TNHH Mtv Thành Hưng Hh Lạng Sơn	Lạng Sơn	Số nhà 27, khu 8, Thị Trấn Na Dương, Huyện Lộc Bình, Tỉnh Lạng Sơn	Xây dựng nhà các loại	4900827008	11-05-2018
Công Ty TNHH Mtv Lâm Sản Thanh Thủy	Lạng Sơn	Khu Phố 1, Thị Trấn Na Dương, Huyện Lộc Bình, Tỉnh Lạng Sơn	Bán buôn máy móc, thiết bị và phụ tùng máy khác	4900823532	05-04-2018
Công Ty TNHH Mtv Hương Lộc Sơn	Lạng Sơn	Số 168 Khu Minh Khai, Thị Trấn Lộc Bình, Huyện Lộc Bình, Tỉnh Lạng Sơn	Sản xuất các sản phẩm khác từ giấy và bìa chưa được phân vào đâu	4900822930	02-04-2018
Công Ty TNHH Kinh Doanh Toàn Gia	Lạng Sơn	Khu 4, Thị Trấn Na Dương, Huyện Lộc Bình, Tỉnh Lạng Sơn	Nhà hàng và các dịch vụ ăn uống phục vụ lưu động	4900823067	02-04-2018
Công Ty TNHH Dịch Vụ Xnk Vũ Gia	Lạng Sơn	Số 2, phố Hòa Bình, Thị Trấn Lộc Bình, Huyện Lộc Bình, Tỉnh Lạng Sơn	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	4900821398	08-03-2018
Cửa Hàng Đồng Hồ - Chi Nhánh Công Ty TNHH Mtv Thương Mại Tns	Lạng Sơn	Số 279, Khu Lao Động, Thị Trấn Lộc Bình, Huyện Lộc Bình, Tỉnh Lạng Sơn	Bán buôn đồ dùng khác cho gia đình	4900793285-001	06-02-2018
Công Ty TNHH Tuổi Trẻ Hoàng Ngọc	Lạng Sơn	thôn Khòn Sè, Xã Sàn Viên, Huyện Lộc Bình, Tỉnh Lạng Sơn	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	4900818821	15-01-2018
Công Ty TNHH Mtv Kiêm Thụ	Lạng Sơn	Thôn Khòn Miện, Xã Đồng Bục, Huyện Lộc Bình, Tỉnh Lạng Sơn	Cưa, xẻ, bào gỗ và bảo quản gỗ	4900818701	11-01-2018
Công Ty TNHH Mtv Xăng Dầu Hoàng Hiền	Lạng Sơn	Số 04A, đường Lê Thành Tông, Thị Trấn Na Dương, Huyện Lộc Bình, Tỉnh Lạng Sơn	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	4900814231	17-10-2017
Công Ty TNHH Mtv Tlđ Ls	Lạng Sơn	Số 143, Khu 5, Thị Trấn Na Dương, Huyện Lộc Bình, Tỉnh Lạng Sơn	Xây dựng nhà các loại	4900813855	03-10-2017
Công Ty TNHH Mtv Đức Phong Na Dương	Lạng Sơn	Khu 6, Thị Trấn Na Dương, Huyện Lộc Bình, Tỉnh Lạng Sơn	Trồng cây lâu năm khác	4900812259	05-08-2017
Công Ty TNHH Tư Vấn Đầu Tư Xây Dựng Nhật Quang	Lạng Sơn	Khu Bản Kho, Thị Trấn Lộc Bình, Huyện Lộc Bình, Tỉnh Lạng Sơn	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	4900810734	27-06-2017
Doanh Nghiệp Tư Nhân Vàng Bạc Phùng Đức Giáp	Lạng Sơn	Số 108, phố Lao Động, Thị Trấn Lộc Bình, Huyện Lộc Bình, Tỉnh Lạng Sơn	Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh	4900810491	20-06-2017
Công Ty Cổ Phần Dược Liệu Mẫu Sơn	Lạng Sơn	Thôn Bó Pằm, Xã Mẫu Sơn, Huyện Lộc Bình, Tỉnh Lạng Sơn	Trồng cây gia vị, cây dược liệu	4900810124	12-06-2017
Công Ty TNHH Mtv Thành Công Lạng Sơn	Lạng Sơn	Thôn Bản Cảng, Xã Khuất Xá, Huyện Lộc Bình, Tỉnh Lạng Sơn	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	4900809552	29-05-2017
Công Ty TNHH Mtv Quyết Học Lạng Sơn	Lạng Sơn	Thôn Pò Đồn, Xã Xuân Dương, Huyện Lộc Bình, Tỉnh Lạng Sơn	Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao	4900809489	25-05-2017
Công Ty TNHH Mtv Đầu Tư Xây Dựng Và Thương Mại Sơn Hồng	Lạng Sơn	Số 67, Khu Bản Kho, Thị Trấn Lộc Bình, Huyện Lộc Bình, Tỉnh Lạng Sơn	Xây dựng công trình kỹ thuật dân dụng khác	4900808220	19-04-2017
Công Ty TNHH Mtv Tm Xnk Hà Bắc	Lạng Sơn	Thôn Chi Ma, Xã Yên Khoái, Huyện Lộc Bình, Tỉnh Lạng Sơn	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	4900802733	20-12-2016
Doanh Nghiệp Tư Nhân Tiệm Vàng Đá Quý Kim Sơn	Lạng Sơn	Số 16, đường Cách Mạng Tháng Tám, khu Nhà Thờ - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn	Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh	4900800817	22-11-2016
Công Ty Cổ Phần Núi Tuyết Mẫu Sơn	Lạng Sơn	Khu Du lịch Mẫu Sơn - Xã Mẫu Sơn - Huyện Lộc Bình - Lạng Sơn	Xây dựng nhà các loại	4900800165	25-10-2016
Công Ty TNHH Mtv Xnk Sâm Hảo	Lạng Sơn	Thôn Cốc Nhãn - Xã Yên Khoái - Huyện Lộc Bình - Lạng Sơn	Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh	4900799826	07-10-2016
Công Ty TNHH Lộc Bình Motor	Lạng Sơn	Số 259, đường Cách mạng tháng 8, khu Lao Động - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn		4900796906	11-07-2016
Công Ty Cổ Phần Đầu Tư Và Thương Mại Duy Đức	Lạng Sơn	Cửa khẩu Chi Ma - Xã Yên Khoái - Huyện Lộc Bình - Lạng Sơn	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	4900796335	04-07-2016
Công Ty TNHH Mtv Xăng Dầu Na Dương	Lạng Sơn	Khu Sơn Hà - Thị trấn Na Dương - Huyện Lộc Bình - Lạng Sơn	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	4900793006	24-05-2016
Công Ty TNHH Mtv Đức Kiên Lạng Sơn	Lạng Sơn	Số 11, khu Nhà Thờ - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn	Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh	4900792919	19-05-2016
Doanh Nghiệp Tư Nhân Sản Xuất Và Thương Mại Xuất Nhập Khẩu Nam Dương	Lạng Sơn	Khu Nam Hà - Thị trấn Na Dương - Huyện Lộc Bình - Lạng Sơn	Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao	4900792926	19-05-2016
Công Ty TNHH Mtv Dũng Nga Lạng Sơn	Lạng Sơn	Khu Hòa Bình - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn	Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh	4900792796	16-05-2016
Trường Mầm Non Xã Bằng Khánh	Lạng Sơn	Xã Bằng Khanh - Xã Bằng Khánh - Huyện Lộc Bình - Lạng Sơn	Giáo dục mầm non	4900792235	12-04-2016
Công Ty TNHH Mtv Vlxd Thùy Liên	Lạng Sơn	Khu Lao động - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	4900792186	08-04-2016
Công Ty Cổ Phần Đầu Tư Và Phát Triển Xây Dựng Lộc Bình	Lạng Sơn	Số 83, Khu Chộc Vằng - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn		4900790950	10-03-2016
Công Ty TNHH Mtv  Du Lịch - Dịch Vụ Bảo Sơn	Lạng Sơn	Nhà nghỉ 9 gian, Khu du lịch Mẫu Sơn - Xã Mẫu Sơn - Huyện Lộc Bình - Lạng Sơn	Dịch vụ lưu trú ngắn ngày	4900788616	25-12-2015
Công Ty TNHH Mtv Đầu Tư Phát Triển Hoàng Hưng	Lạng Sơn	Bãi xe Tuấn Minh, khu cửa khẩu Chi Ma - Xã Yên Khoái - Huyện Lộc Bình - Lạng Sơn	Bán buôn tổng hợp	4900788503	23-12-2015
Trường Mầm non xã Xuân Mãn	Lạng Sơn	Bản Mặn - Xã Xuân Mãn - Huyện Lộc Bình - Lạng Sơn	Bán lẻ (trừ ô tô, mô tô, xe máy và xe có động cơ khác)	4900787771	07-12-2015
