Công ty TNHH Technip Geoproduction (M) Sdn. Bhd	Lào Cai	Cù 1 - Tỉnh Lào Cai - Lào Cai		5300618212-003	24-01-2013
Công ty HH phát triển xí nghiệp Cảng Dụ Thượng Hải	Lào Cai	099A, đường Nguyễn Huệ - Tỉnh Lào Cai - Lào Cai		5300532396-003	14-01-2013
Công ty TNHH XNK Đình Hợp - Hà Khẩu	Lào Cai	Lô 06khu CN Tẳng loong - Tỉnh Lào Cai - Lào Cai		5300630883-001	05-11-2012
Công ty hữu hạn Bac Khoa Kỹ Kim áo	Lào Cai	Số 40 - Phan Đình Phùng - Tỉnh Lào Cai - Lào Cai		5300584891-001	25-09-2012
Công ty TNHH Công chúng cổ phần Toyo - Thái  (TTCL)	Lào Cai	Cù 1 - Tỉnh Lào Cai - Lào Cai		5300618212-002	13-08-2012
Công ty Worley Parsons(WP)	Lào Cai	Cù 1 - Tỉnh Lào Cai - Lào Cai		5300618212-001	13-08-2012
Công ty TNHH kỹ thuật công trình INNATE thành phố Tô Châu	Lào Cai	099A, đường Nguyễn Huệ - Tỉnh Lào Cai - Lào Cai		5300532396-002	17-05-2012
Công ty HH thuỷ điện Đông Kinh	Lào Cai	319, đường Hồng Hà - Tỉnh Lào Cai - Lào Cai		5300563210-001	24-02-2012
Công ty TNHH Mậu Dịch Vũ Dương	Lào Cai	Cụm CN Tằng Loỏng - Tỉnh Lào Cai - Lào Cai		5300316691-002	19-11-2011
Công ty tư vấn ARKITEK ISTIBINA	Lào Cai	SN 88 Đ Thuỷ Hoa Phường  Duyên Hải - Tỉnh Lào Cai - Lào Cai		5300238877-004	10-10-2011
Công ty mậu dịch kinh tế đối ngoại huyện Hà Khẩu	Lào Cai	Cụm công nghiệp Tằng Loỏng - Tỉnh Lào Cai - Lào Cai		5300253089-003	19-09-2011
Công ty thực nghiệm Đồng Hưng khu công nghiệp Yên Đài	Lào Cai	Phường Pom Hán - Tỉnh Lào Cai - Lào Cai		5300531931-001	01-09-2011
Công ty tư vấn PQS	Lào Cai	SN 88 Đ Thuỷ Hoa Phường  Duyên Hải - Tỉnh Lào Cai - Lào Cai		5300238877-003	24-08-2011
Công ty tnhh KU.DUZ	Lào Cai	SN 88 Đ Thuỷ Hoa Phường  Duyên Hải - Tỉnh Lào Cai - Lào Cai		5300238877-002	24-08-2011
Công ty tnhh DONACO	Lào Cai	SN 88 Đ Thuỷ Hoa Phường  Duyên Hải - Tỉnh Lào Cai - Lào Cai		5300238877-001	24-08-2011
Công ty tnhh thương mại Thiên Tân Hà Khẩu	Lào Cai	001, Nguyễn Huệ - Tỉnh Lào Cai - Lào Cai		5300491654-003	22-08-2011
Socie'te' de Rea'lisation, d'Etudes etde Conseil (SOFRECO)	Lào Cai	099A, đường Nguyễn Huệ - Tỉnh Lào Cai - Lào Cai		5300532396-001	19-08-2011
Công ty hữu hạn Thương Mại Phong Thịnh, Hà Khẩu, Vân Nam, Trung Quốc	Lào Cai	309, đường Khánh Yên - Tỉnh Lào Cai - Lào Cai		5300530529-001	20-07-2011
Tổng Công ty Thương Mại Quý Châu	Lào Cai	SN 134, đường 4E, Phường Bắc Cường - Tỉnh Lào Cai - Lào Cai		5300320546-002	20-07-2011
Colben enegry holdings(vietnam).ltd	Lào Cai	Tổ 4, đường Nguyễn Công Hoan - Tỉnh Lào Cai - Lào Cai		5300474747-002	12-07-2011
Công ty tnhh Công trình XD Chính Dương, tỉnh Tứ Xuyên, Trung Quốc	Lào Cai	Đường Lê Khôi, tổ 1 - Tỉnh Lào Cai - Lào Cai		5300528135-001	22-06-2011
Công ty TNHH xây dựng công trình Chính Dương Tứ Xuyên, Trung Quốc	Lào Cai	001, Nguyễn Huệ - Tỉnh Lào Cai - Lào Cai		5300491654-002	30-03-2011
Công ty TNHH XNK Thân Hợp Thượng Hải	Lào Cai	001, Nguyễn Huệ - Tỉnh Lào Cai - Lào Cai		5300491654-001	25-02-2011
