Công Ty TNHH Dịch Vụ Và Thương Mại Nhật Phát	Nam Định	Xóm 10, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Sản xuất sơn, véc ni và các chất sơn, quét tương tự; sản xuất mực in và ma tít	0601179915	03-06-2019
Công Ty TNHH Cơ Khí Chế Tạo Phúc Thiên	Nam Định	Xóm 8, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Sản xuất máy nông nghiệp và lâm nghiệp	0601179457	20-05-2019
Công Ty TNHH Khang Thịnh Phát Vn	Nam Định	Xóm 1, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Gia công cơ khí; xử lý và tráng phủ kim loại	0601178478	17-04-2019
Công Ty Cổ Phần Trung Tín Nam Định	Nam Định	Xóm 3, Xã Xuân Ninh, Huyện Xuân Trường, Tỉnh Nam Định	Nuôi trồng thuỷ sản nội địa	0601178527	16-04-2019
Công Ty Cổ Phần Đầu Tư Xây Dựng Nam Trường An	Nam Định	Tổ 18, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0601176791	09-03-2019
Công Ty TNHH Dịch Vụ Thương Mại Bảo Hùng	Nam Định	Xóm 4, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0601176223	28-02-2019
Công Ty TNHH Y - Dược Bùi Chu	Nam Định	Tổ 13, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Hoạt động của các phòng khám đa khoa, chuyên khoa và nha khoa	0601174681	17-01-2019
Công Ty TNHH Lenci Việt Nam	Nam Định	Tổ 4, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn đồ dùng khác cho gia đình	0601173342	09-01-2019
Công Ty TNHH Thương Mại Phát Triển Vạn Phát	Nam Định	Xóm 5, Xã Thọ Nghiệp, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601172317	27-12-2018
Công Ty TNHH Vlxd Trường Phát	Nam Định	Tổ 17, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601168688	14-12-2018
Công Ty Cổ Phần Đầu Tư Thương Mại Phát Triển Thái Bình Dương	Nam Định	Xóm 10, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn tổng hợp	0601164644	22-10-2018
Công Ty TNHH Thương Mại Thiên Trường Nam Định	Nam Định	Phố Lạc Quần, Xã Xuân Ninh, Huyện Xuân Trường, Tỉnh Nam Định	Vận tải hàng hóa bằng đường bộ	0601163697	27-09-2018
Công Ty Cổ Phần Vận Tải Thương Mại Xuân Toàn	Nam Định	Tổ 18, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Vận tải hàng hóa đường thuỷ nội địa	0601163129	12-09-2018
Công Ty TNHH Thương Mại Dịch Vụ Đại Hiền	Nam Định	Xóm 18, Xã Thọ Nghiệp, Huyện Xuân Trường, Tỉnh Nam Định	Vận tải hàng hóa bằng đường bộ	0601163023	10-09-2018
Công Ty Cổ Phần Nhôm Đúc Đại Phát	Nam Định	Tổ 17, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Đúc kim loại màu	0601162608	24-08-2018
Công Ty TNHH Thương Mại Dịch Vụ Bình An B&d	Nam Định	Phố Bùi Chu, Xã Xuân Ngọc, Huyện Xuân Trường, Tỉnh Nam Định	Hoạt động cấp tín dụng khác	0601162541	23-08-2018
