Công Ty TNHH Sản Phẩm Nông Nghiệp Tạ Tuyết	Ninh Bình	SN 15, Đường Xuân Thành, Phố Trung Nhì, Phường Tân Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Bán buôn gạo	2700893031	24-06-2019
Công Ty TNHH Sản Xuất Và Phân Phối Thương Mại Nelsuk	Ninh Bình	Thôn Phúc Sơn 1, Xã Ninh Tiến, Thành phố Ninh Bình, Tỉnh Ninh Bình	Sản xuất sơn, véc ni và các chất sơn, quét tương tự; sản xuất mực in và ma tít	2700892687	20-06-2019
Công Ty TNHH Sản Xuất Và Dịch Vụ Thương Mại Gia Khánh	Ninh Bình	Số 1, Ngõ 227, Đường Đinh Tiên Hoàng, Phố Khánh Minh, Phường Ninh Khánh, Thành phố Ninh Bình, Tỉnh Ninh Bình	Sản xuất sản phẩm từ chất khoáng phi kim loại khác chưa được phân vào đâu	2700892775	20-06-2019
Công Ty TNHH Đầu Tư Và Dịch Vụ Vận Tải Huy Hoàng	Ninh Bình	Lô 2, Đường Trần Nhân Tông, Phố An Hòa, Phường Ninh Phong, Thành phố Ninh Bình, Tỉnh Ninh Bình	Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải	2700892398	18-06-2019
Công Ty TNHH Đầu Tư Và Thương Mại Yên Bình	Ninh Bình	Xóm Bình Khê, Xã Ninh Nhất, Thành phố Ninh Bình, Tỉnh Ninh Bình	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	2700892077	10-06-2019
Công Ty TNHH Phúc Tâm Ninh Bình	Ninh Bình	Phố Phúc Trì, Phường Phúc Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Bán buôn đồ dùng khác cho gia đình	2700891926	05-06-2019
Công Ty TNHH Thương Mại Và Dịch Vụ Thái An Phú	Ninh Bình	SN 16, Phố Tân Trung, Phường Tân Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Bán lẻ hàng may mặc, giày dép, hàng da và giả da trong các cửa hàng chuyên doanh	2700891901	05-06-2019
Công Ty Cổ Phần Quốc Tế Aiam	Ninh Bình	36A, Ngô Quyền, Phố 4, Phường Đông Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường thủy	2700891757	03-06-2019
Công Ty TNHH Xây Lắp Và Cung Ứng Thiết Bị Cơ Điện Bình Nhật	Ninh Bình	Số nhà 12, ngõ 124, đường Xuân Thành, phố Tân Trung, Phường Tân Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Lắp đặt máy móc và thiết bị công nghiệp	2700891482	03-06-2019
Công Ty TNHH Máy Nén Khí Jaguar Hà Nội	Ninh Bình	Thôn Phúc Sơn 1, Xã Ninh Tiến, Thành phố Ninh Bình, Tỉnh Ninh Bình	Bán buôn máy móc, thiết bị và phụ tùng máy khác	2700891316	23-05-2019
Công Ty TNHH Quang Hiếu Ninh Bình	Ninh Bình	SN 30, Đường 30/6, Phố Phúc Trọng, Phường Phúc Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Vận tải hàng hóa đường thuỷ nội địa	2700891115	20-05-2019
Công Ty TNHH Dịch Vụ Du Lịch Tràng An	Ninh Bình	Số nhà 8, Đường 1, Phố 9, Phường Đông Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Đại lý du lịch	2700890986	16-05-2019
Công Ty TNHH Đầu Tư Thương Mại Và Dịch Vụ Thảo Anh	Ninh Bình	Cảng Ninh Phúc, Xã Ninh Phúc, Thành phố Ninh Bình, Tỉnh Ninh Bình	Sản xuất than cốc	2700890961	16-05-2019
Công Ty Cổ Phần Giải Pháp Tràng An	Ninh Bình	Số 02, Ngõ 207, Đường Lê Thái Tổ, Phường Tân Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	2700889652	23-04-2019
Công Ty TNHH Thương Mại Hoàng Trung Kiên	Ninh Bình	Số 25, Ngõ 90, Đường Phạm Văn Nghị, Phố 9, Phường Đông Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Bán buôn ô tô và xe có động cơ khác	2700889243	11-04-2019
Công Ty TNHH Tư Vấn Đầu Tư Và Xây Dựng Cce	Ninh Bình	Số nhà 15, Ngõ 163, Đường Lương Văn Tụy, Phố Phúc Nam, Phường Phúc Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	2700889003	03-04-2019
Công Ty TNHH Thương Mại Và Du Lịch Hoa Tràng An	Ninh Bình	Số 03, Ngõ 50, Đường Đinh Tất Miễn, Phố Bắc Thành, Phường Tân Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Dịch vụ lưu trú ngắn ngày	2700888916	02-04-2019
Công Ty Cổ Phần Thẩm Định Giá Gia Linh	Ninh Bình	SN 29, Ngõ 40, Đường Lê Thái Tổ, Phường Tân Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu	2700888779	27-03-2019
Công Ty TNHH Cơ Khí Và Thương Mại Trung Sơn	Ninh Bình	Số 40, Phố Phúc Thịnh, Phường Bích Đào, Thành phố Ninh Bình, Tỉnh Ninh Bình	Rèn, dập, ép và cán kim loại; luyện bột kim loại	2700888634	27-03-2019
Công Ty TNHH Vận Chuyển Itransport Mai Huyền	Ninh Bình	SN 15, ngõ 61, đường Xuân Thành, phố Trung Nhì, Phường Tân Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Vận tải hàng hóa bằng đường bộ	2700888521	27-03-2019
Công Ty TNHH Hỗ Trợ Giáo Dục Huệ Lê	Ninh Bình	SN 10, ngõ 13, đường Thành Công, Phường Tân Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Giáo dục khác chưa được phân vào đâu	2700888352	25-03-2019
Công Ty TNHH Tm & Dv Ngọc Tâm Vn	Ninh Bình	Số 963, Đường Nguyễn Công Trứ, Phố Phúc Thịnh, Phường Bích Đào, Thành phố Ninh Bình, Tỉnh Ninh Bình	Vận tải hàng hóa bằng đường bộ	2700888560	25-03-2019
Công Ty TNHH Q.sea Ad	Ninh Bình	Số nhà 5, ngõ 135 đường Lê Thái Tổ. phố Khánh Bình, Phường Ninh Khánh, Thành phố Ninh Bình, Tỉnh Ninh Bình	Quảng cáo	2700888070	18-03-2019
Công Ty TNHH Đăng Quang Ninh Bình	Ninh Bình	Số 134, đường Cát Linh, phố Đẩu Long, Phường Tân Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác	2700887976	13-03-2019
Công Ty TNHH Thiết Bị Công Nghệ Hồng Phúc	Ninh Bình	Số nhà 45/105, Đường Nguyễn Huệ, Phố Ngô Quyền, Phường Nam Bình, Thành phố Ninh Bình, Tỉnh Ninh Bình	Bán buôn thiết bị và linh kiện điện tử, viễn thông	2700887479	26-02-2019
Công Ty Cổ Phần Thương Mại Và Dịch Vụ Tân Thành Mỹ	Ninh Bình	Số 75, Đường 2, Ngõ 6, Phố Đại Phong, Phường Nam Bình, Thành phố Ninh Bình, Tỉnh Ninh Bình	Dịch vụ lưu trú ngắn ngày	2700887373	21-02-2019
Công Ty TNHH Thương Mại Và Dịch Vụ Trường Bảo An	Ninh Bình	Số 21, Đường Lý Tự Trọng, Phố Phúc Trọng, Phường Phúc Thành, Thành phố Ninh Bình, Tỉnh Ninh Bình	Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm	2700886919	28-01-2019
