Công Ty TNHH Bắc Nam Phú Thọ	Phú Thọ	khu Thanh Hà, Xã Cao Xá, Huyện Lâm Thao, Tỉnh Phú Thọ	Bán buôn thực phẩm	2601025179	28-03-2019
Công Ty TNHH Mtv Hoàng Khang	Phú Thọ	Khu 14, Xã Cao Xá, Huyện Lâm Thao, Tỉnh Phú Thọ	Chuẩn bị mặt bằng	2601022851	18-01-2019
Công Ty TNHH Thương Mại Phú Hưng Phú Thọ	Phú Thọ	Khu 5, Xã Hợp Hải, Huyện Lâm Thao, Tỉnh Phú Thọ	Vận tải hàng hóa bằng đường bộ	2601013141	03-10-2018
Công Ty TNHH Mtv Kiến Trúc Xây Dựng T&t	Phú Thọ	Khu 12a, Thị Trấn Lâm Thao, Huyện Lâm Thao, Tỉnh Phú Thọ	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	2601012282	26-09-2018
Công Ty TNHH Thương Mại Tổng Hợp Huyền Hải	Phú Thọ	Khu Thị Tứ, Xã Cao Xá, Huyện Lâm Thao, Tỉnh Phú Thọ	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	2601009681	13-09-2018
Công Ty Cổ Phần Đầu Tư Thương Mại Tổng Hợp Huyền Đức	Phú Thọ	Khu 8, Hồng Sơn, Xã Thạch Sơn, Huyện Lâm Thao, Tỉnh Phú Thọ	Khai thác đá, cát, sỏi, đất sét	2601009152	07-09-2018
Công Ty TNHH Một Thành Viên Tiến Đạt Lâm Thao	Phú Thọ	khu 18, Xã Sơn Vi, Huyện Lâm Thao, Tỉnh Phú Thọ	Xây dựng nhà các loại	2601007853	16-08-2018
Công Ty TNHH Hà Chấn Hưng	Phú Thọ	Khu 6, Thị Trấn Hùng Sơn, Huyện Lâm Thao, Tỉnh Phú Thọ	Sản xuất sản phẩm từ plastic	2601007444	14-08-2018
Công Ty TNHH Mtv An Bách	Phú Thọ	Thôn Ngọc Tỉnh, Thị Trấn Lâm Thao, Huyện Lâm Thao, Tỉnh Phú Thọ	Giáo dục khác chưa được phân vào đâu	2601007363	09-08-2018
Công Ty TNHH Hải Quỳnh Phú Thọ	Phú Thọ	Khu 6, Xã Sơn Dương, Huyện Lâm Thao, Tỉnh Phú Thọ	Xây dựng nhà các loại	2601003496	04-07-2018
Công Ty TNHH Emc Phú Thọ	Phú Thọ	khu 2, Xã Thạch Sơn, Huyện Lâm Thao, Tỉnh Phú Thọ	Sản xuất linh kiện điện tử	2601002679	25-06-2018
Công Ty TNHH Mtv Xây Dựng Trung Kiên	Phú Thọ	Khu 10, Thị Trấn Hùng Sơn, Huyện Lâm Thao, Tỉnh Phú Thọ	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	2601001548	11-06-2018
Công Ty Cổ Phần Xây Dựng Và Đầu Tư Thương Mại Gáp	Phú Thọ	Khu 19, Xã Tứ Xã, Huyện Lâm Thao, Tỉnh Phú Thọ	Xây dựng nhà các loại	2600999796	16-05-2018
Công Ty TNHH Xây Dựng Cơ Khí Và Điện Nước Anh Đức	Phú Thọ	Khu 1B, Xã Xuân Huy, Huyện Lâm Thao, Tỉnh Phú Thọ	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	2600999348	09-05-2018
Công Ty TNHH Dịch Vụ Thương Mại Và Đầu Tư Tuấn Dũng	Phú Thọ	khu 9, Xã Sơn Vi, Huyện Lâm Thao, Tỉnh Phú Thọ	Bán buôn thực phẩm	2600999362	09-05-2018
Công Ty TNHH Tam Cường	Phú Thọ	Khu 16, Xã Tiên Kiên, Huyện Lâm Thao, Tỉnh Phú Thọ	Sản xuất hàng may sẵn (trừ trang phục)	2600998873	26-04-2018
Công Ty Cổ Phần Đầu Tư Và Phát Triển Mạnh Anh	Phú Thọ	Khu 9, Xã Sơn Vi, Huyện Lâm Thao, Tỉnh Phú Thọ	Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện	2600998619	23-04-2018
Công Ty TNHH Vận Tải Công Nghệ Go Viet	Phú Thọ	Khu Hành chính, Thị Trấn Lâm Thao, Huyện Lâm Thao, Tỉnh Phú Thọ	Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính	2600998658	23-04-2018
Công Ty TNHH Thi Công Hoàn Thiện Tnt	Phú Thọ	Khu 13, Thị Trấn Hùng Sơn, Huyện Lâm Thao, Tỉnh Phú Thọ	Hoàn thiện công trình xây dựng	2600997647	04-04-2018
Công Ty TNHH Cơ Khí Dịch Vụ Kỹ Thuật Hàn Quốc Tế	Phú Thọ	Khu 2, Xã Vĩnh Lại, Huyện Lâm Thao, Tỉnh Phú Thọ	Gia công cơ khí; xử lý và tráng phủ kim loại	2600997171	23-03-2018
Công Ty Cổ Phần Hdt 666	Phú Thọ	Khu 8, Xã Tứ Xã, Huyện Lâm Thao, Tỉnh Phú Thọ	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	2600997132	22-03-2018
Công Ty Cổ Phần Xây Dựng Phú Thịnh Phú Thọ	Phú Thọ	Khu 13, Thị Trấn Hùng Sơn, Huyện Lâm Thao, Tỉnh Phú Thọ	Xây dựng nhà các loại	2600997164	22-03-2018
Công Ty Cổ Phần Hải Dương Phú Thọ	Phú Thọ	Khu 13, Thị Trấn Lâm Thao, Huyện Lâm Thao, Tỉnh Phú Thọ	Xây dựng nhà các loại	2600997157	22-03-2018
Công Ty TNHH Xd Hưng Nghiệp	Phú Thọ	Khu 1A, Xã Xuân Huy, Huyện Lâm Thao, Tỉnh Phú Thọ	Xây dựng công trình kỹ thuật dân dụng khác	2600996795	14-03-2018
Công Ty TNHH Lữ Hành Du Lịch Việt Á	Phú Thọ	Khu 14, Thị Trấn Hùng Sơn, Huyện Lâm Thao, Tỉnh Phú Thọ	Đại lý du lịch	2600990592	20-12-2017
Công Ty TNHH Mtv Xây Dựng Và Thương Mại Thành Phát	Phú Thọ	khu 2, Thị Trấn Hùng Sơn, Huyện Lâm Thao, Tỉnh Phú Thọ	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	2600990345	13-12-2017
Công Ty Cổ Phần Xây Dựng Và Vận Tải Thanh Long	Phú Thọ	Khu 3, Xã Sơn Dương, Huyện Lâm Thao, Tỉnh Phú Thọ		2600989621	30-11-2017
