Công Ty TNHH  Khang An Sơn La	Sơn La	Xóm 4, Xã Mường Giàng, Huyện Quỳnh Nhai, Tỉnh Sơn La	Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh	5500564860	10-04-2018
Công Ty TNHH Khánh Hưng Tây Bắc	Sơn La	Xóm 3, Xã Mường Giàng, Huyện Quỳnh Nhai, Tỉnh Sơn La	Xây dựng công trình đường sắt và đường bộ	5500558546	11-10-2017
Công Ty TNHH Xây Dựng Và Thương Mại Quang Dương Tây Bắc	Sơn La	Xóm 6, Xã Mường Giàng, Huyện Quỳnh Nhai, Tỉnh Sơn La	Gia công cơ khí; xử lý và tráng phủ kim loại	5500549823	03-04-2017
Công Ty Cổ Phần Đầu Tư Xây Dựng Công Trình Giao Thông 379 Sơn La	Sơn La	Xóm 4, Xã Mường Giàng, Huyện Quỳnh Nhai, Tỉnh Sơn La	Xây dựng nhà các loại	5500548178	23-02-2017
Chi Nhánh Công Ty TNHH Mtv Quản Lý, Khai Thác Công Trình Thủy Lợi Sơn La Tại Quỳnh Nhai	Sơn La	Xóm 1 - Xã Mường Giàng - Huyện Quỳnh Nhai - Sơn La	Hoạt động xây dựng chuyên dụng khác	5500540813-004	03-11-2016
HTX Chiềng Khay	Sơn La	Xã Chiềng Khay - Xã Chiềng Khay - Huyện Quỳnh Nhai - Sơn La		5500541077	11-08-2016
Công Ty Cổ Phần Sơn Vương Sơn La	Sơn La	Xóm 6 - Xã Mường Giàng - Huyện Quỳnh Nhai - Sơn La	Xây dựng công trình kỹ thuật dân dụng khác	5500536990	25-04-2016
Chi Nhánh Quỹ Bảo Vệ Phát Triển Rừng Quỳnh Nhai	Sơn La	Xóm 8- Mường Giàng - Xã Mường Giàng - Huyện Quỳnh Nhai - Sơn La		5500534111	15-03-2016
Doanh Nghiệp Tư Nhân Quế Tuấn	Sơn La	Xóm 7 - Xã Mường Giàng - Huyện Quỳnh Nhai - Sơn La	Xây dựng nhà các loại	5500534094	14-03-2016
Doanh Nghiệp Tư Nhân Xường Chi	Sơn La	Xóm 8 - Xã Mường Giàng - Huyện Quỳnh Nhai - Sơn La		5500533855	04-03-2016
Doanh Nghiệp Tư Nhân Dũng Dương Sơn La	Sơn La	Xóm 5 - Xã Mường Giàng - Huyện Quỳnh Nhai - Sơn La		5500533598	02-03-2016
Doanh Nghiệp Tư Nhân Tân Tuyết Quỳnh Nhai	Sơn La	Xóm 3 - Xã Mường Giàng - Huyện Quỳnh Nhai - Sơn La	Bán mô tô, xe máy	5500527890	10-12-2015
Trường mầm non Hoa Phượng	Sơn La	Mường Giàng - Xã Mường Giàng - Huyện Quỳnh Nhai - Sơn La	Trồng cây ăn quả khác	5500526914	13-11-2015
Công Ty Cổ Phần Môi Trường Xanh Nguyệt Nam	Sơn La	Xóm 4 - Xã Mường Giàng - Huyện Quỳnh Nhai - Sơn La	Trồng rừng và chăm sóc rừng	5500524441	25-09-2015
Hợp Tác xã Lò Mạnh Sáng	Sơn La	Bản có Luông - Xã Chiềng Khay - Huyện Quỳnh Nhai - Sơn La	Khai thác đá, cát, sỏi, đất sét	5500523286	14-08-2015
UBND xã Mường Chiên	Sơn La	xã mườngchiên - Xã Mường Chiên - Huyện Quỳnh Nhai - Sơn La	Bán lẻ khác trong các cửa hàng kinh doanh tổng hợp	5500522807	28-07-2015
Doanh Nghiệp Tư Nhân Sơn Liên Sơn La	Sơn La	Xóm 6 - Xã Mường Giàng - Huyện Quỳnh Nhai - Sơn La	Vận tải hàng hóa bằng đường bộ	5500521497	03-06-2015
UBND Xã Mường Chiên	Sơn La	Mường Chiên - Xã Mường Chiên - Huyện Quỳnh Nhai - Sơn La	NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN	5500519219	31-03-2015
Doanh Nghiệp Tư Nhân Mạnh Cường Quỳnh Nhai	Sơn La	Xóm 2 - Xã Mường Giàng - Huyện Quỳnh Nhai - Sơn La	Nhà hàng và các dịch vụ ăn uống phục vụ lưu động	5500518416	16-03-2015
