Công Ty TNHH Sản Xuất Và Thương Mại Xuân Công Phát	Thái Bình	Thôn Đồng Thanh, Xã Tân Bình, Thành phố Thái Bình, Tỉnh Thái Bình	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	1001189818	25-06-2019
Công Ty Cổ Phần Đầu Tư Xây Dựng Và Thương Mại Văn Phú	Thái Bình	Số nhà 31, đường số 9, phố Nguyễn Đình Chính, tổ 37, Phường Trần Lãm, Thành phố Thái Bình, Tỉnh Thái Bình	Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê	1001189800	21-06-2019
Công Ty Cổ Phần Hợp Thành Thái Bình	Thái Bình	Lô 20/31, khu đô thị mới Trần Lãm, Phường Trần Lãm, Thành phố Thái Bình, Tỉnh Thái Bình	Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê	1001189737	19-06-2019
Công Ty TNHH Hải Đăng Genset	Thái Bình	Nhà riêng Ông Nguyễn Văn Sáng, Số 1B/64 đường Trần Khánh Dư, Phường Bồ Xuyên, Thành phố Thái Bình, Tỉnh Thái Bình	Bán buôn máy móc, thiết bị và phụ tùng máy khác	1001188772	03-06-2019
Công Ty Cổ Phần Sản Xuất Dịch Vụ Thương Mại Quốc Tế Long Phát Group	Thái Bình	37 Lý Bôn, Phường Tiền Phong, Thành phố Thái Bình, Tỉnh Thái Bình	Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh	1001188814	31-05-2019
Công Ty TNHH Nam Bi	Thái Bình	Lô 3-A9, đường Nguyễn Văn Năng, Phường Trần Lãm, Thành phố Thái Bình, Tỉnh Thái Bình	Bán mô tô, xe máy	1001188740	30-05-2019
Công Ty TNHH Epc Thuận Phát	Thái Bình	SN 3.43, đường số 01, khu đô thị Trần Lãm, tổ 37, Phường Trần Lãm, Thành phố Thái Bình, Tỉnh Thái Bình		1001188074	13-05-2019
Công Ty Cổ Phần Đay Sợi Hải Duyên	Thái Bình	Lô DS, đường Bùi Viện, khu công nghiệp Nguyễn Đức Cảnh, Phường Trần Hưng Đạo, Thành phố Thái Bình, Tỉnh Thái Bình	Sản xuất sợi	1001187923	10-05-2019
Công Ty TNHH Tm & Dv Nam Phan	Thái Bình	Số 451, đường Long Hưng, tổ 26, Phường Hoàng Diệu, Thành phố Thái Bình, Tỉnh Thái Bình	Bán buôn chuyên doanh khác chưa được phân vào đâu	1001187352	24-04-2019
Công Ty TNHH Đầu Tư Sao Đăng	Thái Bình	Số nhà 11, khu B, khu dân cư thôn Phúc Khánh, Xã Vũ Phúc, Thành phố Thái Bình, Tỉnh Thái Bình	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	1001187296	23-04-2019
Công Ty TNHH Đầu Tư Xây Lắp Kim Long	Thái Bình	Lô CNV 4.5 - B1, cụm công nghiệp Phong Phú, đường Bùi Quang Dũng, Phường Tiền Phong, Thành phố Thái Bình, Tỉnh Thái Bình	Bán buôn máy móc, thiết bị và phụ tùng máy khác	1001187257	22-04-2019
Công Ty TNHH Khách Sạn Tùng Lan	Thái Bình	Số 07/126 phố Trần Hưng Đạo, tổ 14, Phường Đề Thám, Thành phố Thái Bình, Tỉnh Thái Bình	Dịch vụ lưu trú ngắn ngày	1001186888	12-04-2019
Công Ty TNHH Đầu Tư Kinh Doanh Bất Động Sản Phúc Hưng	Thái Bình	Lô 4.24, khu đô thị Trần Lãm, tổ 37, Phường Trần Lãm, Thành phố Thái Bình, Tỉnh Thái Bình	Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê	1001186729	10-04-2019
Công Ty Cổ Phần Dịch Vụ Trắc Địa Thái Bình	Thái Bình	Lô 06, khu quy hoạch làng SOS, tổ 3, Phường Hoàng Diệu, Thành phố Thái Bình, Tỉnh Thái Bình	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	1001186542	08-04-2019
Công Ty TNHH Thái Hương Tú	Thái Bình	Số 208, đường Trần Thái Tông, tổ 3, Phường Trần Hưng Đạo, Thành phố Thái Bình, Tỉnh Thái Bình	Sản xuất mỹ phẩm, xà phòng, chất tẩy rửa, làm bóng và chế phẩm vệ sinh	1001186535	06-04-2019
Công Ty TNHH Tmdv Vận Tải Phương Đông	Thái Bình	Ngõ 5, ngách 3, đường Trần Thủ Độ, tổ 18, Phường Tiền Phong, Thành phố Thái Bình, Tỉnh Thái Bình	Vận tải hàng hóa bằng đường bộ	1001185316	21-03-2019
Công Ty TNHH Đt Và Tm Thái Bình	Thái Bình	(NR Phạm Xuân Thanh), Thôn Tống Vũ, Xã Vũ Chính, Thành phố Thái Bình, Tỉnh Thái Bình	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	1001184954	15-03-2019
