Công Ty TNHH Tư Vấn Và Đầu Tư Xây Dựng Minh Châu Thái Nguyên	Thái Nguyên	Tổ dân phố Úc Sơn, Thị Trấn Hương Sơn, Huyện Phú Bình, Tỉnh Thái Nguyên	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	4601539682	06-06-2019
Công Ty Cổ Phần Đầu Tư Y Tế Thái Việt	Thái Nguyên	Tổ 2, Thị Trấn Hương Sơn, Huyện Phú Bình, Tỉnh Thái Nguyên	Hoạt động của các phòng khám đa khoa, chuyên khoa và nha khoa	4601538689	15-05-2019
Doanh Nghiệp Tư Nhân Vàng Bạc Thủy Hà	Thái Nguyên	Xóm Trung 2, Xã Điềm Thụy, Huyện Phú Bình, Tỉnh Thái Nguyên	Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh	4601536748	09-04-2019
Công Ty TNHH Tư Vấn Xây Dựng Và Đầu Tư Sơn Hải	Thái Nguyên	xóm Kiều Chính, Xã Xuân Phương, Huyện Phú Bình, Tỉnh Thái Nguyên	Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan	4601535582	21-03-2019
Công Ty TNHH Xuân Lộc - Kibaco	Thái Nguyên	xóm Tân Sơn 9, Xã Xuân Phương, Huyện Phú Bình, Tỉnh Thái Nguyên	Bán buôn thực phẩm	4601529109	10-12-2018
Công Ty TNHH Testtech Vina	Thái Nguyên	Lô CN4, khu công nghiệp Điềm Thụy, Xã Điềm Thụy, Huyện Phú Bình, Tỉnh Thái Nguyên	Sản xuất linh kiện điện tử	4601528017	22-11-2018
Công Ty Cổ Phần Hoàng Hà Việt Nam	Thái Nguyên	Xóm Vôi, Xã Hà Châu, Huyện Phú Bình, Tỉnh Thái Nguyên	Xây dựng nhà các loại	4601522375	13-08-2018
Công Ty TNHH Giống Gia Cầm Điền Quy	Thái Nguyên	Xóm Non Tranh, Xã Tân Thành, Huyện Phú Bình, Tỉnh Thái Nguyên	Chăn nuôi gia cầm	4601522350	13-08-2018
Công Ty TNHH Mừng Hằng An Bình	Thái Nguyên	Xóm Trại, Xã Kha Sơn, Huyện Phú Bình, Tỉnh Thái Nguyên	Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác	4601522255	10-08-2018
Công Ty TNHH May Thanh Huyền Thái Nguyên	Thái Nguyên	Tổ dân phố Thơm , Thị Trấn Hương Sơn, Huyện Phú Bình, Tỉnh Thái Nguyên	Sản xuất hàng may sẵn (trừ trang phục)	4601521438	20-07-2018
Công Ty TNHH Linh Son Beauty	Thái Nguyên	Xóm An Thành, Xã Dương Thành, Huyện Phú Bình, Tỉnh Thái Nguyên	Khai khoáng khác chưa được phân vào đâu	4601521082	13-07-2018
Công Ty TNHH Thái Nguyên Vina	Thái Nguyên	Xóm Trạng, Xã Điềm Thụy, Huyện Phú Bình, Tỉnh Thái Nguyên	Nhà hàng và các dịch vụ ăn uống phục vụ lưu động	4601520480	05-07-2018
Công Ty Cổ Phần Khai Thác Cát Sỏi Hà Châu	Thái Nguyên	Xóm Soi Ấp, Xã Hà Châu, Huyện Phú Bình, Tỉnh Thái Nguyên	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	4601520642	04-07-2018
Công Ty TNHH Kms Việt Nam	Thái Nguyên	Lô KP-2 Khu công nghiệp Điềm Thụy, Xã Điềm Thụy, Huyện Phú Bình, Tỉnh Thái Nguyên	Gia công cơ khí; xử lý và tráng phủ kim loại	4601520723	04-07-2018
