Công Ty TNHH Một Thành Viên Liên Khu	Tuyên Quang	Thôn Phiêng Luông, Xã Bình An, Huyện Lâm Bình, Tỉnh Tuyên Quang	Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh	5000849723	27-04-2018
Công Ty TNHH Du Lịch Non Nước Lâm Bình	Tuyên Quang	Thôn Nà Khà, Xã Lăng Can, Huyện Lâm Bình, Tỉnh Tuyên Quang	Điều hành tua du lịch	5000849667	21-04-2018
Công Ty Trách Nhiệm Hữu Hạn Ivy Nguyễn	Tuyên Quang	Thôn Nặm Đíp, Xã Lăng Can, Huyện Lâm Bình, Tỉnh Tuyên Quang	Xây dựng nhà các loại	5000848913	27-03-2018
Công Ty TNHH Xây Dựng An Long Quân	Tuyên Quang	Thôn Nà Khà, Xã Lăng Can, Huyện Lâm Bình, Tỉnh Tuyên Quang	Xây dựng nhà các loại	5000848159	06-02-2018
Công Ty TNHH Một Thành Viên Thương Mại Quang Việt	Tuyên Quang	Thôn Bản Chợ, Xã Thượng Lâm, Huyện Lâm Bình, Tỉnh Tuyên Quang	Xây dựng nhà các loại	5000847885	17-01-2018
Công Ty Trách Nhiệm Hữu Hạn Một Thành Viên Nông Nghiệp Mai Tuyết	Tuyên Quang	Thôn Bản Chợ, Xã Thượng Lâm, Huyện Lâm Bình, Tỉnh Tuyên Quang	Chăn nuôi lợn	5000830514	01-12-2016
Trường Phổ thông dân tộc nội trú Trung học cơ sở huyện Lâm Bình	Tuyên Quang	Bản Khiển - Xã  Lăng Can - Huyện Lâm Bình - Tuyên Quang	Giáo dục trung học cơ sở và trung học phổ thông	5000827261	23-06-2016
Ban quản lý xây dựng cơ bản huyện Lâm Bình	Tuyên Quang	Thôn Bản Khiển - Xã  Lăng Can - Huyện Lâm Bình - Tuyên Quang	Hoạt động quản lý nhà nước trong các lĩnh vực kinh tế chuyên ngành	5000824976	07-04-2016
HợP TáC Xã TUYêN DUYêN	Tuyên Quang	Nà Cọn - Xã Thổ Bình - Huyện Lâm Bình - Tuyên Quang	Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)	5000821125	02-12-2015
Công Ty Trách Nhiệm Hữu Hạn Một Thành Viên Xây Dựng Và Thương Mại Sơn Thảo	Tuyên Quang	Thôn Nà Tông - Xã Thượng Lâm - Huyện Lâm Bình - Tuyên Quang	Xây dựng nhà các loại	5000818517	05-08-2015
