Công Ty TNHH Thương Mại Nhựa Hưng Thịnh	Vĩnh Phúc	Thôn Hưng Thịnh, Xã Hợp Thịnh, Huyện Tam Dương, Tỉnh Vĩnh Phúc	Sản xuất sản phẩm từ plastic	2500627836	04-05-2019
Công Ty TNHH Thương Mại Dịch Vụ Và Khoáng Sản Hoàng Phương	Vĩnh Phúc	Thôn Trại, Xã Thanh Vân, Huyện Tam Dương, Tỉnh Vĩnh Phúc	Khai thác đá, cát, sỏi, đất sét	2500627191	25-04-2019
Công Ty TNHH Công Nghệ Cao Smarttech	Vĩnh Phúc	Thôn Thọ Khánh, Xã Hợp Thịnh, Huyện Tam Dương, Tỉnh Vĩnh Phúc		2500622443	15-01-2019
Công Ty TNHH Vận Tải Vĩnh Phúc	Vĩnh Phúc	Thôn Vân Tập, Xã Vân Hội, Huyện Tam Dương, Tỉnh Vĩnh Phúc	Vận tải hàng hóa bằng đường bộ	2500620358	18-12-2018
Công Ty TNHH Dịch Vụ Và Thương Mại Ánh Dương Hl	Vĩnh Phúc	Thôn Thượng, Xã Hoàng Lâu, Huyện Tam Dương, Tỉnh Vĩnh Phúc	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	2500619391	03-12-2018
Công Ty TNHH Kinh Doanh Dịch Vụ Và Thương Mại Dũng Sơn	Vĩnh Phúc	Thôn Lê Lợi, Xã Hợp Thịnh, Huyện Tam Dương, Tỉnh Vĩnh Phúc	Nhà hàng và các dịch vụ ăn uống phục vụ lưu động	2500617387	26-10-2018
Công Ty TNHH Sơn Kaipen	Vĩnh Phúc	Xóm Đông, Xã Duy Phiên, Huyện Tam Dương, Tỉnh Vĩnh Phúc	Sản xuất sơn, véc ni và các chất sơn, quét tương tự; sản xuất mực in và ma tít	2500617066	17-10-2018
Công Ty TNHH Thực Phẩm T&d	Vĩnh Phúc	Thôn Liên Kết, Xã Hoàng Lâu, Huyện Tam Dương, Tỉnh Vĩnh Phúc	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	2500616337	08-10-2018
Công Ty TNHH Phát Triển Công Nghệ Và Thương Mại Nam Phát	Vĩnh Phúc	Thôn Vân Tập, Xã Vân Hội, Huyện Tam Dương, Tỉnh Vĩnh Phúc	Bán buôn máy móc, thiết bị và phụ tùng máy khác	2500613304	28-08-2018
Công Ty TNHH Đầu Tư Xây Dựng Và Thương Mại Nhà Việt	Vĩnh Phúc	Thôn Đông Trung, Xã Đồng Tĩnh, Huyện Tam Dương, Tỉnh Vĩnh Phúc	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	2500612685	17-08-2018
Công Ty TNHH Tư Vấn Và Dịch Vụ Minh Thư	Vĩnh Phúc	Thôn Hương Đình, Xã An Hòa, Huyện Tam Dương, Tỉnh Vĩnh Phúc	Lắp đặt hệ thống điện	2500612484	15-08-2018
Công Ty TNHH Một Thành Viên Bách Linh Vĩnh Phúc	Vĩnh Phúc	Thôn Viên Du, Xã Thanh Vân, Huyện Tam Dương, Tỉnh Vĩnh Phúc	Vận tải hàng hóa bằng đường bộ	2500612325	14-08-2018
