Công Ty TNHH Thiện Hoàn	Yên Bái	Khu 9, Thị Trấn Nt Liên Sơn, Huyện Văn Chấn, Tỉnh Yên Bái	Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác	5200899168	25-04-2019
Công Ty TNHH Xăng Dầu Kiên Tuyết	Yên Bái	Thôn Chùa 1, Xã Chấn Thịnh, Huyện Văn Chấn, Tỉnh Yên Bái	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	5200893293	12-10-2018
Công Ty TNHH Đại Thành Yb	Yên Bái	Tổ 1, Thị Trấn Nt Liên Sơn, Huyện Văn Chấn, Tỉnh Yên Bái	Phá dỡ	5200892483	07-09-2018
Công Ty Cổ Phần Phát Triển Khoáng Sản Văn Chấn Yên Bái	Yên Bái	Khu phố Cửa Nhì, Xã Sơn Thịnh, Huyện Văn Chấn, Tỉnh Yên Bái	Khai thác đá, cát, sỏi, đất sét	5200891320	26-07-2018
Chi Nhánh Công Ty Cổ Phần Sản Xuất Thương Mại Và Kỹ Thuật Minh Hằng Tại Yên Bái	Yên Bái	Pang Cáng, Xã Suối Giàng, Huyện Văn Chấn, Tỉnh Yên Bái	Trồng rau, đậu các loại và trồng hoa, cây cảnh	0106477219-001	19-07-2018
Công Ty TNHH Tài Chính Gia Long Chi Nhánh Sơn Thịnh	Yên Bái	Thôn Trung Tâm, Xã Sơn Thịnh, Huyện Văn Chấn, Tỉnh Yên Bái	Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất	5400481762-008	17-07-2018
Doanh Nghiệp Tư Nhân Đức Huy - Văn Chấn	Yên Bái	Thôn Văn Tiên 1, Xã Thượng Bằng La, Huyện Văn Chấn, Tỉnh Yên Bái	Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác	5200889427	06-06-2018
Doanh Nghiệp Tư Nhân Dương Bách - Văn Chấn	Yên Bái	Thôn 2, Xã Đại Lịch, Huyện Văn Chấn, Tỉnh Yên Bái	Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác	5200889177	30-05-2018
Công Ty Cổ Phần Luyện Kim Màu Trung Việt	Yên Bái	Cụm Công nghiệp Tân Thịnh, Xã Tân Thịnh, Huyện Văn Chấn, Tỉnh Yên Bái	Khai thác quặng sắt	5200888550	11-05-2018
Công Ty Cổ Phần Chè Tuyết San Yên Bái	Yên Bái	Tổ 7, Thị Trấn Nt Nghĩa Lộ, Huyện Văn Chấn, Tỉnh Yên Bái	Sản xuất thực phẩm khác chưa được phân vào đâu	5200888279	02-05-2018
Doanh Nghiệp Tư Nhân Nhôm Kính Thắng Hường	Yên Bái	Thôn Phù Ninh, Xã Phù Nham, Huyện Văn Chấn, Tỉnh Yên Bái	Hoàn thiện công trình xây dựng	5200888215	23-04-2018
Công Ty TNHH Chè An Việt	Yên Bái	Thôn 11, Xã Đại Lịch, Huyện Văn Chấn, Tỉnh Yên Bái	Sản xuất thực phẩm khác chưa được phân vào đâu	5200887589	28-03-2018
Công Ty TNHH Hùng Cường - Văn Chấn	Yên Bái	Thôn Bản Loọng, Xã Phù Nham, Huyện Văn Chấn, Tỉnh Yên Bái	Chuẩn bị mặt bằng	5200887518	23-03-2018
Công Ty Cổ Phần Chè San Tuyết	Yên Bái	Thôn Giàng B, Xã Suối Giàng, Huyện Văn Chấn, Tỉnh Yên Bái	Sản xuất thực phẩm khác chưa được phân vào đâu	5200887405	20-03-2018
Doanh Nghiệp Tư Nhân Gia Phúc - Văn Chấn	Yên Bái	Thôn Dẹ 2, Xã Bình Thuận, Huyện Văn Chấn, Tỉnh Yên Bái	Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác	5200887395	20-03-2018
